,Date,Open,High,Low,Close,Volume
0,2005-02-25,14.531,14.734,13.92,14.008,59942
1,2005-02-28,13.96,15.287,13.668,15.027,29624
2,2005-03-01,15.008,15.094,14.541,14.561,6783
3,2005-03-02,14.687,15.705,14.551,14.93,19788
4,2005-03-03,15.027,15.027,14.551,14.695,5833
5,2005-03-04,14.541,15.21,14.541,14.641,10045
6,2005-03-07,14.831,15.346,14.541,15.161,14414
7,2005-03-08,15.453,15.463,15.113,15.278,6241
8,2005-03-09,14.705,15.656,14.561,15.607,15071
9,2005-03-10,15.424,15.656,15.21,15.51,7768
10,2005-03-11,15.306,15.463,15.306,15.406,5158
11,2005-03-14,17.352,17.352,16.142,17.108,44185
12,2005-03-15,17.991,18.466,17.507,18.149,62542
13,2005-03-16,18.786,18.894,15.705,17.451,37899
14,2005-03-17,15.994,17.546,15.994,16.5,12328
15,2005-03-18,15.675,18.235,15.675,17.922,15383
16,2005-03-21,18.235,18.235,16.48,17.459,10426
17,2005-03-22,17.732,17.732,17.042,17.148,7181
18,2005-03-23,17.875,17.875,15.027,16.209,15885
19,2005-03-24,15.907,15.907,15.52,15.636,10961
20,2005-03-28,16.112,17.402,15.841,16.442,27629
21,2005-03-29,16.199,17.013,15.52,15.764,18010
22,2005-03-30,16.093,16.112,15.52,15.52,11170
23,2005-03-31,15.268,15.52,14.744,15.268,19089
24,2005-04-01,16.122,16.132,15.268,15.268,17217
25,2005-04-04,15.316,16.898,15.316,16.666,20027
26,2005-04-05,16.576,17.342,16.189,17.138,17712
27,2005-04-06,17.342,17.392,16.731,16.878,8989
28,2005-04-07,17.062,17.402,16.538,17.285,7437
29,2005-04-08,17.451,17.451,16.034,16.5,8624
30,2005-04-11,17.932,17.932,16.751,16.898,17163
31,2005-04-12,17.922,17.922,16.586,16.771,5161
32,2005-04-13,17.081,17.742,16.722,17.023,7986
33,2005-04-14,16.48,16.799,16.451,16.48,7634
34,2005-04-15,16.383,16.48,13.91,14.611,41027
35,2005-04-18,14.018,14.551,11.546,14.297,26919
36,2005-04-19,15.549,15.549,12.805,14.057,15489
37,2005-04-20,13.136,14.086,13.136,13.855,6911
38,2005-04-21,13.359,13.865,13.193,13.581,14640
39,2005-04-22,13.609,13.609,13.183,13.223,13713
40,2005-04-25,12.864,13.233,12.662,13.213,21754
41,2005-04-26,12.991,13.096,12.622,13.058,15198
42,2005-04-27,12.672,12.699,12.282,12.632,4540
43,2005-04-28,12.118,12.457,12.118,12.312,5472
44,2005-04-29,12.215,12.265,11.77,12.265,4856
45,2005-05-02,11.913,12.215,11.913,12.215,9669
46,2005-05-03,12.796,14.541,12.796,12.903,33201
47,2005-05-04,14.153,14.705,13.252,13.571,34520
48,2005-05-05,14.346,14.346,12.991,13.001,21442
49,2005-05-06,12.796,13.329,12.796,13.28,4949
50,2005-05-09,12.893,13.515,12.893,13.515,9100
51,2005-05-10,13.409,13.486,13.369,13.486,4837
52,2005-05-11,13.389,13.389,13.339,13.359,1987
53,2005-05-12,13.086,13.29,13.086,13.173,1499
54,2005-05-13,12.796,13.086,12.796,13.086,9709
55,2005-05-16,13.039,13.252,13.039,13.086,6819
56,2005-05-17,12.603,14.464,12.603,14.096,10331
57,2005-05-18,14.153,14.153,13.542,13.648,5791
58,2005-05-19,13.599,13.92,13.599,13.698,2605
59,2005-05-20,13.618,13.746,13.349,13.532,10876
60,2005-05-23,14.513,14.513,13.086,13.571,25189
61,2005-05-24,13.262,13.865,13.106,13.438,16519
62,2005-05-25,13.571,13.815,13.28,13.766,13531
63,2005-05-26,14.153,14.425,13.096,14.173,22652
64,2005-05-27,14.153,14.531,13.92,14.346,5624
65,2005-05-31,14.541,15.152,14.445,14.764,25031
66,2005-06-01,15.268,15.268,14.494,14.66,10643
67,2005-06-02,14.591,14.999,14.242,14.98,23428
68,2005-06-03,14.98,15.181,14.484,14.734,9719
69,2005-06-06,16.48,17.188,15.764,16.152,63964
70,2005-06-07,16.967,17.013,16.142,16.666,38232
71,2005-06-08,16.704,16.898,16.142,16.287,30166
72,2005-06-09,16.093,17.342,16.093,17.003,37400
73,2005-06-10,17.451,18.73,17.362,18.418,70392
74,2005-06-13,18.041,18.418,17.128,17.422,56788
75,2005-06-14,16.984,17.624,16.938,17.178,29029
76,2005-06-15,16.722,17.751,16.722,17.751,12072
77,2005-06-16,18.179,18.398,17.875,17.875,17753
78,2005-06-17,17.839,18.081,17.108,17.575,10417
79,2005-06-20,17.932,17.932,17.062,17.285,21350
80,2005-06-21,17.138,17.556,17.138,17.498,10106
81,2005-06-22,17.614,18.011,17.614,17.644,8496
82,2005-06-23,17.981,17.981,17.451,17.451,17667
83,2005-06-24,18.031,18.031,17.108,17.178,7389
84,2005-06-27,16.819,16.819,15.705,15.832,34315
85,2005-06-28,15.656,16.373,14.734,16.189,16822
86,2005-06-29,16.189,16.471,16.189,16.314,12047
87,2005-06-30,16.471,16.52,16.063,16.287,4711
88,2005-07-01,16.024,17.304,15.665,17.258,6981
89,2005-07-05,18.031,18.031,16.287,16.48,9041
90,2005-07-06,16.189,16.189,15.53,15.994,4103
91,2005-07-07,15.705,15.899,15.51,15.549,1716
92,2005-07-08,16.334,16.957,15.907,16.819,3843
93,2005-07-11,16.152,17.839,15.085,17.402,20798
94,2005-07-12,17.451,17.451,16.606,16.606,7137
95,2005-07-13,16.48,16.676,16.334,16.676,1830
96,2005-07-14,16.566,16.967,16.566,16.586,2349
97,2005-07-15,16.51,16.51,16.258,16.268,2382
98,2005-07-18,15.946,15.994,15.754,15.783,6549
99,2005-07-19,16.024,17.451,16.024,17.352,8768
100,2005-07-20,17.352,18.312,17.277,18.179,5305
101,2005-07-21,18.321,19.378,17.839,19.049,51743
102,2005-07-22,19.388,19.875,18.361,19.388,22634
103,2005-07-25,19.679,19.679,19.118,19.118,13040
104,2005-07-26,20.359,20.359,18.535,18.535,13034
105,2005-07-27,18.693,18.749,16.771,18.408,18207
106,2005-07-28,18.408,18.904,17.605,18.904,9655
107,2005-07-29,18.001,18.312,17.352,17.942,17353
108,2005-08-01,17.634,18.321,17.595,18.179,15556
109,2005-08-02,17.848,18.418,17.848,18.198,4441
110,2005-08-03,18.388,18.388,18.071,18.12,2473
111,2005-08-04,18.179,18.575,18.091,18.575,6721
112,2005-08-05,18.904,19.186,18.179,19.186,11630
113,2005-08-08,19.543,19.629,19.388,19.456,9937
114,2005-08-09,19.629,21.066,18.981,20.649,31769
115,2005-08-10,20.873,22.006,20.873,21.861,34002
116,2005-08-11,21.908,22.771,21.861,22.658,20650
117,2005-08-12,22.771,22.781,22.22,22.5,6421
118,2005-08-15,22.316,22.857,21.269,22.296,13501
119,2005-08-16,22.296,22.296,20.349,20.774,19830
120,2005-08-17,20.173,21.133,19.875,20.669,14074
121,2005-08-18,20.359,20.559,20.359,20.369,6270
122,2005-08-19,19.778,21.171,19.428,21.161,9677
123,2005-08-22,20.853,20.863,20.609,20.669,7551
124,2005-08-23,20.599,20.745,20.599,20.609,3237
125,2005-08-24,20.369,20.446,20.282,20.282,5390
