,Date,Open,High,Low,Close,Volume
0,2005-02-25,9.851,9.891,9.845,9.885,13177
1,2005-02-28,9.904,9.918,9.838,9.838,24558
2,2005-03-01,9.851,9.877,9.845,9.877,13477
3,2005-03-02,9.845,9.87,9.845,9.87,2843
4,2005-03-03,9.877,9.91,9.87,9.885,19164
5,2005-03-04,9.891,9.918,9.862,9.91,15271
6,2005-03-07,9.931,9.937,9.924,9.937,19319
7,2005-03-08,9.904,9.924,9.904,9.924,22608
8,2005-03-09,9.885,9.931,9.845,9.924,21261
9,2005-03-10,9.862,9.904,9.862,9.904,19913
10,2005-03-11,9.862,9.891,9.862,9.87,14974
11,2005-03-14,9.891,9.896,9.87,9.87,8080
12,2005-03-15,9.87,9.957,9.87,9.924,14226
13,2005-03-16,9.877,9.904,9.877,9.891,11529
14,2005-03-17,9.877,9.944,9.87,9.944,7787
15,2005-03-18,9.918,9.924,9.91,9.91,10182
16,2005-03-21,9.91,9.931,9.91,9.91,9283
17,2005-03-22,9.931,9.931,9.833,9.885,18266
18,2005-03-23,9.833,9.845,9.744,9.79,11832
19,2005-03-24,9.825,9.825,9.68,9.716,13177
20,2005-03-28,9.702,9.716,9.556,9.573,27700
21,2005-03-29,9.603,9.61,9.56,9.588,4936
22,2005-03-30,9.573,9.632,9.556,9.596,17516
23,2005-03-31,9.615,9.658,9.573,9.581,16921
24,2005-04-01,9.638,9.71,9.603,9.71,7943
25,2005-04-04,9.658,9.658,9.566,9.632,17817
26,2005-04-05,9.596,9.673,9.596,9.673,14974
27,2005-04-06,9.666,9.71,9.645,9.702,4642
28,2005-04-07,9.71,9.71,9.658,9.702,7192
29,2005-04-08,9.702,9.817,9.702,9.817,14525
30,2005-04-11,9.803,9.944,9.764,9.924,8685
31,2005-04-12,9.885,9.937,9.756,9.845,9433
32,2005-04-13,9.777,9.833,9.756,9.756,8529
33,2005-04-14,9.751,9.825,9.751,9.751,8080
34,2005-04-15,9.79,9.838,9.79,9.838,3742
35,2005-04-19,9.857,9.937,9.838,9.896,14974
36,2005-04-20,9.833,9.833,9.751,9.797,11832
37,2005-04-21,9.797,9.833,9.744,9.744,7192
38,2005-04-22,9.744,9.81,9.744,9.751,6287
39,2005-04-25,9.777,9.817,9.751,9.764,6140
40,2005-04-26,9.769,9.784,9.722,9.756,19764
41,2005-04-27,9.764,9.784,9.751,9.751,8831
42,2005-04-28,9.784,9.833,9.784,9.833,4496
43,2005-04-29,9.838,9.862,9.833,9.845,4191
44,2005-05-02,9.838,9.896,9.838,9.885,11076
45,2005-05-03,9.904,9.91,9.87,9.877,5991
46,2005-05-04,9.885,9.891,9.87,9.87,11382
47,2005-05-05,9.891,9.924,9.87,9.896,8831
48,2005-05-06,9.896,9.937,9.885,9.937,9887
49,2005-05-09,9.951,10.004,9.931,10.004,21864
50,2005-05-10,10.035,10.125,9.977,10.125,23366
51,2005-05-11,10.098,10.194,10.064,10.133,25904
52,2005-05-12,10.142,10.142,10.091,10.098,16021
53,2005-05-13,10.105,10.166,10.105,10.105,6140
54,2005-05-16,10.16,10.16,10.105,10.12,24109
55,2005-05-17,10.113,10.171,10.113,10.166,22461
56,2005-05-18,10.194,10.249,10.184,10.184,18121
57,2005-05-19,10.194,10.265,10.194,10.265,9583
58,2005-05-20,10.265,10.265,10.194,10.194,2843
59,2005-05-23,10.234,10.234,10.194,10.227,13177
60,2005-05-24,10.241,10.241,10.222,10.222,4496
61,2005-05-25,10.227,10.279,10.194,10.279,32043
62,2005-05-26,10.272,10.301,10.208,10.222,8831
63,2005-05-27,10.279,10.301,10.227,10.241,11382
64,2005-05-31,10.293,10.301,10.265,10.265,3439
65,2005-06-01,10.265,10.346,10.155,10.227,30392
66,2005-06-02,10.191,10.249,10.176,10.202,20961
67,2005-06-03,10.191,10.249,10.184,10.202,10935
68,2005-06-06,10.194,10.202,10.125,10.125,28747
69,2005-06-07,10.166,10.184,10.133,10.133,29652
70,2005-06-08,10.166,10.171,10.125,10.171,3140
71,2005-06-09,10.146,10.16,10.076,10.091,19018
72,2005-06-10,10.098,10.113,10.043,10.085,10031
73,2005-06-13,10.076,10.076,9.977,10.017,16921
74,2005-06-14,10.035,10.035,9.972,9.972,5836
75,2005-06-15,9.972,9.984,9.918,9.931,21408
76,2005-06-16,9.904,9.944,9.896,9.944,5991
77,2005-06-17,9.944,9.964,9.937,9.951,8389
78,2005-06-20,9.984,9.984,9.951,9.957,7787
79,2005-06-21,9.951,10.043,9.951,10.009,18714
80,2005-06-22,10.025,10.025,9.996,9.996,6737
81,2005-06-23,9.99,10.009,9.972,10.009,10182
82,2005-06-24,10.031,10.043,10.004,10.043,16021
83,2005-06-27,10.043,10.064,10.043,10.064,4191
84,2005-06-28,10.064,10.085,10.058,10.058,9283
85,2005-06-29,10.064,10.091,10.058,10.058,8685
86,2005-06-30,10.058,10.091,10.058,10.085,3742
87,2005-07-01,10.098,10.16,10.085,10.16,14674
88,2005-07-05,10.12,10.146,10.064,10.133,12728
89,2005-07-06,10.142,10.146,10.091,10.146,10335
90,2005-07-07,10.146,10.171,10.146,10.171,8238
91,2005-07-08,10.176,10.202,10.155,10.202,17220
92,2005-07-11,10.194,10.202,10.194,10.194,2695
93,2005-07-12,10.202,10.234,10.202,10.215,11832
94,2005-07-13,10.202,10.272,10.202,10.227,17967
95,2005-07-14,10.234,10.234,10.215,10.222,8831
96,2005-07-15,10.215,10.315,10.208,10.257,9731
97,2005-07-18,10.222,10.309,10.222,10.279,13626
98,2005-07-19,10.279,10.301,10.208,10.208,7943
99,2005-07-20,10.208,10.287,10.202,10.241,14525
100,2005-07-21,10.208,10.265,10.208,10.257,3742
101,2005-07-22,10.272,10.315,10.215,10.222,9135
102,2005-07-25,10.265,10.287,10.249,10.279,4496
103,2005-07-26,10.293,10.309,10.208,10.279,6737
104,2005-07-27,10.279,10.309,10.272,10.279,10781
105,2005-07-28,10.301,10.358,10.293,10.326,26053
106,2005-07-29,10.353,10.366,10.321,10.366,8238
107,2005-08-01,10.379,10.42,10.309,10.309,7943
108,2005-08-02,10.309,10.384,10.272,10.34,14974
109,2005-08-03,10.34,10.42,10.34,10.372,52555
110,2005-08-04,10.372,10.443,10.321,10.413,39830
111,2005-08-05,10.353,10.353,10.272,10.287,27700
112,2005-08-08,10.265,10.301,10.176,10.257,69029
113,2005-08-09,10.265,10.265,10.133,10.234,51655
114,2005-08-10,10.208,10.272,10.16,10.184,22760
115,2005-08-11,10.166,10.166,10.105,10.105,14674
116,2005-08-12,10.105,10.133,9.937,10.069,58098
117,2005-08-15,10.069,10.16,10.069,10.133,51655
118,2005-08-16,10.12,10.166,10.12,10.12,11529
119,2005-08-17,10.155,10.171,10.113,10.155,31150
120,2005-08-18,10.125,10.171,10.125,10.166,17072
121,2005-08-19,10.155,10.16,10.076,10.076,19319
