,Date,Open,High,Low,Close,Volume
0,2005-02-25,16.253,16.921,16.213,16.706,832408
1,2005-02-28,17.205,17.275,16.077,16.53,1007747
2,2005-03-01,16.53,16.755,15.46,15.712,1567525
3,2005-03-02,15.977,16.273,15.45,16.017,1924770
4,2005-03-03,16.017,16.569,15.949,16.174,1441364
5,2005-03-04,16.273,16.381,15.781,16.332,992779
6,2005-03-07,16.332,16.341,15.8,16.135,654317
7,2005-03-08,16.037,16.332,15.81,15.82,1081516
8,2005-03-09,15.82,16.135,15.488,15.518,777269
9,2005-03-10,15.124,15.263,14.622,15.036,1334907
10,2005-03-11,14.997,15.646,14.997,15.469,936877
11,2005-03-14,15.469,15.646,15.223,15.577,769326
12,2005-03-15,15.548,15.909,15.391,15.431,774215
13,2005-03-16,15.223,15.8,15.144,15.568,822173
14,2005-03-17,15.568,16.037,15.568,15.987,857762
15,2005-03-18,16.863,16.941,16.371,16.569,1666952
16,2005-03-21,16.51,16.627,15.977,16.351,1087322
17,2005-03-22,16.351,16.49,16.164,16.233,611398
18,2005-03-23,16.203,16.371,15.154,15.441,1509026
19,2005-03-24,15.441,16.077,15.441,15.655,651725
20,2005-03-28,15.655,15.742,15.273,15.508,533047
21,2005-03-29,15.45,15.548,14.868,14.957,1147347
22,2005-03-30,14.957,14.997,14.074,14.957,2235738
23,2005-03-31,15.124,15.518,15.114,15.293,1655498
24,2005-04-01,15.587,16.135,15.568,15.879,1498943
25,2005-04-04,16.115,16.371,15.849,16.047,1380728
26,2005-04-05,16.047,16.233,15.869,16.154,1335518
27,2005-04-06,16.273,16.882,16.233,16.834,2324326
28,2005-04-07,16.892,17.186,16.794,17.02,2700819
29,2005-04-08,17.03,17.215,16.53,16.706,1974255
30,2005-04-11,16.637,16.647,16.037,16.371,1145668
31,2005-04-12,16.233,16.607,15.8,15.997,1042573
32,2005-04-13,16.007,16.037,15.263,15.352,897014
33,2005-04-14,15.685,16.017,15.478,15.548,1571032
34,2005-04-15,15.548,15.781,14.732,14.898,1363618
35,2005-04-18,14.79,15.293,14.534,15.253,830726
36,2005-04-19,15.411,15.879,15.411,15.781,706098
37,2005-04-20,15.761,16.174,15.391,15.401,865855
38,2005-04-21,15.498,16.027,15.498,15.977,700750
39,2005-04-22,15.958,16.213,15.722,16.017,845694
40,2005-04-25,16.144,16.273,15.879,16.057,677992
41,2005-04-26,16.057,16.135,15.646,15.869,833171
42,2005-04-27,15.722,15.8,15.223,15.352,719231
43,2005-04-28,15.194,15.391,14.172,15.114,2481489
44,2005-04-29,15.154,15.273,14.436,14.83,1762868
45,2005-05-02,14.78,15.094,14.455,15.017,841265
46,2005-05-03,15.017,15.017,14.474,14.544,1348500
47,2005-05-04,14.564,14.918,14.544,14.78,1095266
