,Date,Open,High,Low,Close,Volume
0,2015-06-23,7.6534,7.9441,7.1982,7.1982,33801
1,2015-06-25,7.4596,7.4596,7.4403,7.4596,827
2,2015-06-29,7.4596,7.4596,7.4596,7.4596,101
3,2015-06-30,7.0236,7.2757,6.6265,7.1496,4938
4,2015-07-02,7.3628,7.3628,7.3628,7.3628,517
5,2015-07-06,7.2465,7.2465,7.2465,7.2465,101
6,2015-07-07,7.3143,8.0506,7.0432,7.0432,1963
7,2015-07-09,7.0236,7.0722,7.0236,7.0722,929
8,2015-07-10,7.082,8.2637,7.082,7.1014,3406
9,2015-07-13,7.1303,7.2465,7.1206,7.1206,2064
10,2015-07-15,7.1401,7.1401,7.1401,7.1401,929
11,2015-07-16,7.0722,7.0722,7.0236,7.0236,722
12,2015-07-17,6.9462,6.9462,6.8397,6.8977,1137
13,2015-07-20,7.5857,7.5857,6.5199,6.7814,929
14,2015-07-27,6.1907,6.2777,6.1907,6.2777,3097
15,2015-07-28,6.6169,6.6363,6.578,6.5975,3612
16,2015-07-29,6.6265,6.6265,6.6265,6.6265,101
17,2015-07-30,6.6363,6.6363,6.6363,6.6363,1342
18,2015-08-04,6.6363,6.6363,6.5393,6.5393,1342
19,2015-08-05,6.2294,6.2777,6.055,6.2777,1137
20,2015-08-06,6.2197,6.3601,6.2197,6.3601,437
21,2015-08-07,6.394,6.394,6.394,6.394,722
22,2015-08-12,5.7256,5.7256,5.7256,5.7256,517
23,2015-08-18,5.8225,5.8613,5.8225,5.8225,1031
24,2015-08-19,7.3337,7.3337,6.859,6.859,1137
25,2015-08-27,6.2777,6.297,6.2197,6.297,2271
26,2015-08-28,6.3167,6.9946,6.3167,6.6072,4232
27,2015-09-01,6.2197,6.2197,6.2002,6.2002,5161
28,2015-09-02,6.1324,6.6459,6.055,6.4813,6192
29,2015-09-03,6.1131,6.152,5.619,5.9968,11664
30,2015-09-04,6.2002,6.3649,5.5801,5.8903,619
31,2015-09-08,5.9096,6.3069,5.8613,6.1713,9598
32,2015-09-09,5.8613,5.8613,5.8613,5.8613,101
33,2015-09-11,6.152,6.1907,6.152,6.1907,3406
34,2015-09-14,6.7524,6.7524,6.7524,6.7524,101
35,2015-09-15,5.8903,5.8903,5.8903,5.8903,5676
36,2015-09-16,6.4328,6.4907,6.4328,6.4813,7329
37,2015-09-18,6.3553,6.3747,6.3553,6.3747,827
38,2015-09-21,6.423,6.423,6.394,6.394,3509
39,2015-09-22,6.1907,6.2002,6.1907,6.2002,1137
40,2015-09-24,5.9487,5.9677,5.9487,5.9677,517
41,2015-09-25,5.9194,5.9194,5.9194,5.9194,517
42,2015-09-28,6.1713,6.5007,5.8128,5.8128,2287
43,2015-09-29,6.055,6.055,6.055,6.055,310
44,2015-09-30,5.8515,6.055,5.8515,6.055,1137
45,2015-10-07,5.9725,6.3219,5.6909,6.1279,15651
46,2015-10-09,6.3415,6.3415,6.3415,6.3415,101
47,2015-10-15,6.3415,6.3415,6.2249,6.2249,1029
48,2015-10-23,5.9335,5.9335,5.9141,5.9141,309
49,2015-10-26,5.8461,6.3803,5.8461,6.3803,20389
50,2015-10-27,5.8752,5.9335,5.8752,5.9335,309
51,2015-10-28,6.6814,6.6814,6.6814,6.6814,618
52,2015-10-29,6.2638,6.7591,6.1763,6.7591,9474
53,2015-10-30,6.3803,6.3803,6.3803,6.3803,720
54,2015-11-02,5.9238,6.2638,5.856,6.2153,2230
55,2015-11-16,5.7101,6.0016,5.681,5.8364,2779
56,2015-11-17,5.8655,5.8655,5.8655,5.8655,411
57,2015-11-19,5.8268,5.8268,5.8268,5.8268,207
58,2015-11-24,6.4095,6.4095,6.3902,6.3902,1648
59,2015-11-25,5.8946,6.2443,5.8946,6.2443,6898
60,2015-11-27,6.2638,6.3026,6.0696,6.0696,5767
61,2015-12-01,5.8852,6.1763,5.8852,6.1763,11585
62,2015-12-03,6.113,6.1521,6.0838,6.0838,1695
63,2015-12-04,5.9963,6.0352,5.9477,5.9963,5445
64,2015-12-08,5.9573,5.967,5.568,5.8795,2105
