,Date,Open,High,Low,Close,Volume
0,2017-09-08,9.7,9.71,9.7,9.71,250000
1,2017-09-13,9.71,9.71,9.71,9.71,13900
2,2017-09-15,9.8,9.8,9.8,9.8,182300
3,2017-09-18,9.775,9.8,9.775,9.8,36300
4,2017-09-19,9.79,9.8,9.76,9.78,89600
5,2017-09-20,9.75,9.75,9.75,9.75,500
6,2017-09-25,9.72,9.8,9.7,9.78,151850
7,2017-09-26,9.75,9.75,9.75,9.75,157724
8,2017-09-28,9.76,9.7662,9.75,9.7662,1000
9,2017-09-29,9.75,9.7662,9.75,9.7662,1800
10,2017-10-03,9.75,9.75,9.75,9.75,100000
11,2017-10-04,9.7698,9.7698,9.75,9.75,700
12,2017-10-09,9.75,9.755,9.74,9.755,5200
13,2017-10-10,9.75,9.76,9.75,9.75,23100
14,2017-10-11,9.75,9.75,9.74,9.74,300
15,2017-10-16,9.75,9.75,9.72,9.72,571450
16,2017-10-17,9.76,9.76,9.73,9.73,30600
17,2017-10-19,9.75,9.76,9.73,9.75,85300
18,2017-10-23,9.75,9.75,9.75,9.75,13836
19,2017-10-24,9.75,9.77,9.73,9.77,243168
20,2017-10-25,9.75,9.76,9.75,9.75,50200
21,2017-10-26,9.72,9.73,9.72,9.73,13104
22,2017-10-31,9.72,9.7399,9.72,9.7399,293000
23,2017-11-01,9.74,9.74,9.73,9.73,38997
24,2017-11-02,9.72,9.72,9.72,9.72,50000
25,2017-11-03,9.7,9.7,9.7,9.7,42700
26,2017-11-06,9.72,9.72,9.7,9.7,173900
27,2017-11-08,9.72,9.77,9.72,9.72,3698
28,2017-11-09,9.7,9.7,9.7,9.7,100
29,2017-11-10,9.7,9.7,9.7,9.7,61900
