,Date,Open,High,Low,Close,Volume
0,2007-08-01,11.5,11.5,11.5,11.5,0
1,2007-08-02,11.5,12.62,11.49,12.26,292176
2,2007-08-03,12.45,13.5,11.52,11.99,111036
3,2007-08-06,13.4,13.4,11.5,11.5,69748
4,2007-08-07,11.94,11.94,11.5,11.69,1202
5,2007-08-08,11.52,11.81,11.5,11.75,6805
6,2007-08-09,11.82,12.44,11.71,11.75,5703
7,2007-08-10,11.74,11.74,11.5,11.59,14810
8,2007-08-13,12.0,12.0,11.89,11.95,24284
9,2007-08-14,12.43,12.43,11.6,11.91,9616
10,2007-08-15,11.91,12.44,11.5,12.09,3106
11,2007-08-16,12.76,12.76,12.06,12.06,1265
12,2007-08-17,12.29,13.05,12.0,12.25,7774
13,2007-08-20,12.4,12.51,12.25,12.5,3421
14,2007-08-21,12.5,12.76,12.45,12.49,4600
15,2007-08-22,12.5,12.78,12.18,12.18,24885
16,2007-08-23,12.18,12.18,11.85,11.85,1390
17,2007-08-24,12.25,12.73,12.25,12.73,2398
18,2007-08-27,12.67,12.79,12.66,12.75,2695
19,2007-08-28,12.88,12.89,12.44,12.44,1147
20,2007-08-29,12.51,12.51,12.51,12.51,100
21,2007-08-30,12.99,13.11,12.2,12.48,1300
22,2007-08-31,12.68,13.31,12.51,12.74,5200
23,2007-09-04,12.33,13.5,12.33,13.42,3205
24,2007-09-05,13.6,13.66,13.41,13.41,2385
25,2007-09-06,13.75,14.0,12.24,12.55,6100
26,2007-09-07,12.69,13.74,12.68,13.39,4000
27,2007-09-10,13.65,14.19,13.5,14.0,4000
28,2007-09-11,14.25,14.25,13.5,13.5,3700
29,2007-09-12,13.57,13.57,13.33,13.33,1500
30,2007-09-13,13.49,13.5,13.26,13.26,6703
31,2007-09-14,13.3,13.42,13.05,13.25,4243
32,2007-09-17,13.0,13.0,12.69,12.76,3820
33,2007-09-18,12.79,13.29,12.41,12.55,21700
34,2007-09-19,12.4,12.45,12.2,12.2,3100
35,2007-09-20,12.24,12.66,12.24,12.58,131500
36,2007-09-21,12.79,14.5,12.79,13.69,9004
37,2007-09-24,13.83,13.85,13.67,13.75,8961
38,2007-09-25,13.6,13.6,12.8,12.8,1725
39,2007-09-26,13.36,13.63,12.79,13.35,2480
40,2007-09-27,12.76,12.81,10.92,11.5,45078
41,2007-09-28,11.5,12.43,10.75,10.75,359113
42,2007-10-01,11.13,11.25,10.16,11.17,65470
43,2007-10-02,11.27,12.16,11.27,12.0,27874
44,2007-10-03,11.87,12.58,11.87,12.58,27136
45,2007-10-04,12.74,12.9,12.26,12.42,5816
46,2007-10-05,12.61,12.75,12.26,12.51,9122
47,2007-10-08,12.41,12.55,11.8,11.95,7256
48,2007-10-09,11.95,12.0,11.54,11.84,13572
49,2007-10-10,11.51,13.12,11.5,13.0,12561
50,2007-10-11,12.11,13.26,12.11,12.73,9545
51,2007-10-12,12.58,13.8,12.58,13.03,10019
52,2007-10-15,13.11,13.25,12.93,13.1,12456
53,2007-10-16,13.09,13.4,13.07,13.4,1601
54,2007-10-17,13.58,13.58,13.16,13.33,5406
55,2007-10-18,13.29,13.79,13.29,13.73,2915
56,2007-10-19,13.73,14.15,13.4,13.61,9262
57,2007-10-22,14.21,14.21,13.8,13.81,4145
58,2007-10-23,13.47,13.75,12.99,13.15,2438
59,2007-10-24,13.03,13.03,11.79,11.85,2328
60,2007-10-25,11.99,12.1,11.21,11.21,3429
61,2007-10-26,11.38,12.49,11.38,11.94,9099
62,2007-10-29,11.88,12.0,11.04,11.77,10839
63,2007-10-30,11.15,13.25,11.15,12.97,16275
64,2007-10-31,12.9,13.01,12.01,13.0,9384
65,2007-11-01,13.36,13.48,12.83,13.09,16768
66,2007-11-02,13.34,14.65,12.01,13.16,11317
67,2007-11-05,13.68,13.92,12.79,12.94,10894
68,2007-11-06,12.9,13.08,12.16,13.05,13300
69,2007-11-07,12.84,12.84,12.5,12.65,9048
70,2007-11-08,12.81,12.81,12.3,12.51,2938
71,2007-11-09,12.3,12.94,12.0,12.94,20578
72,2007-11-12,12.9,13.5,12.88,13.03,5633
73,2007-11-13,13.88,13.88,11.8,12.97,15365
74,2007-11-14,12.77,13.33,12.36,13.28,7094
75,2007-11-15,13.26,13.26,12.0,12.15,9180
76,2007-11-16,12.12,12.24,11.95,12.16,32280
77,2007-11-19,12.16,12.57,11.84,12.45,16282
78,2007-11-20,12.45,12.45,11.95,12.04,16292
79,2007-11-21,11.9,12.02,11.8,11.99,2615
80,2007-11-23,11.9,11.9,11.68,11.85,9512
81,2007-11-26,11.73,11.84,11.13,11.15,3961
82,2007-11-27,11.17,11.28,11.0,11.0,26064
83,2007-11-28,11.1,11.85,11.07,11.85,26030
84,2007-11-29,12.0,14.06,12.0,13.64,25497
85,2007-11-30,13.6,13.64,13.26,13.26,22063
86,2007-12-03,12.95,14.15,12.95,13.32,12146
87,2007-12-04,13.32,14.15,12.62,13.25,26150
88,2007-12-05,13.57,13.57,12.29,13.41,2771
89,2007-12-06,13.3,14.94,12.33,14.94,7684
90,2007-12-07,15.09,15.17,14.91,15.0,2366
91,2007-12-10,15.0,15.0,14.82,14.82,3228
92,2007-12-11,14.98,15.2,13.83,14.12,16688
93,2007-12-12,14.96,16.24,14.7,15.62,9337
94,2007-12-13,15.41,15.6,14.75,14.75,7136
95,2007-12-14,14.71,14.71,14.37,14.46,7373
96,2007-12-17,14.15,14.15,13.11,13.13,13191
97,2007-12-18,13.45,14.65,13.15,14.55,5535
98,2007-12-19,15.37,15.69,14.78,15.69,3436
99,2007-12-20,15.97,16.75,14.94,15.0,25237
100,2007-12-21,15.27,15.92,15.27,15.92,32521
101,2007-12-24,16.9,17.39,15.91,17.22,5004
102,2007-12-26,17.16,17.73,17.11,17.73,7264
103,2007-12-27,17.74,18.31,16.02,18.06,5448
104,2007-12-28,18.35,19.74,17.16,17.32,30104
105,2007-12-31,16.77,19.75,15.23,18.34,27766
106,2008-01-02,17.94,18.5,17.7,18.01,17633
107,2008-01-03,17.76,17.76,15.83,16.52,15445
108,2008-01-04,16.03,16.03,14.12,14.12,6708
109,2008-01-07,14.12,14.12,12.5,13.1,27298
110,2008-01-08,13.14,13.87,12.34,12.34,15408
111,2008-01-09,12.45,12.75,12.45,12.62,15229
112,2008-01-10,12.5,12.7,11.3,12.28,33410
113,2008-01-11,12.55,13.13,12.51,12.75,4854
114,2008-01-14,13.05,14.26,13.03,14.06,4202
115,2008-01-15,11.26,14.5,11.26,13.5,2455
116,2008-01-16,13.79,15.48,13.79,15.27,45200
117,2008-01-17,15.51,15.55,14.8,15.36,16611
118,2008-01-18,15.2,16.0,15.14,15.29,52839
119,2008-01-22,14.71,16.0,12.24,13.95,15281
120,2008-01-23,14.09,14.8,13.0,14.8,10148
121,2008-01-24,15.09,15.56,12.86,15.43,49866
122,2008-01-25,15.7,15.85,13.01,14.53,5409
123,2008-01-28,14.87,15.2,13.5,13.68,5462
124,2008-01-29,13.97,14.9,13.93,14.9,4678
125,2008-01-30,14.82,15.87,14.23,14.23,37877
126,2008-01-31,14.0,15.84,13.23,13.27,13732
127,2008-02-01,13.58,14.93,12.87,13.0,16198
128,2008-02-04,13.23,14.49,12.94,13.05,11725
129,2008-02-05,12.75,13.5,12.34,12.48,16094
130,2008-02-06,12.77,12.77,11.88,11.88,9332
131,2008-02-07,12.01,12.01,11.37,11.62,26957
132,2008-02-08,11.78,11.78,10.82,11.07,23123
133,2008-02-11,11.26,11.26,10.83,10.83,16156
134,2008-02-12,11.0,11.0,10.47,10.51,34660
135,2008-02-13,10.63,11.22,10.63,11.22,17367
136,2008-02-14,11.14,11.37,10.71,10.71,12461
137,2008-02-15,10.65,10.65,10.35,10.51,5306
138,2008-02-19,10.81,10.99,10.0,10.46,23300
139,2008-02-20,11.44,11.44,10.23,10.92,178075
140,2008-02-21,10.92,11.56,10.51,10.7,97886
141,2008-02-22,10.61,11.07,10.59,11.0,46607
142,2008-02-25,11.02,11.11,10.3,11.05,33264
143,2008-02-26,11.0,11.01,10.64,10.83,35176
144,2008-02-27,10.75,11.05,10.37,10.81,28497
145,2008-02-28,10.74,11.18,10.51,10.79,37247
146,2008-02-29,10.79,11.17,10.64,10.78,39839
147,2008-03-03,10.89,10.89,10.65,10.65,13764
148,2008-03-04,10.7,10.83,10.1,10.18,145863
149,2008-03-05,10.07,10.95,10.07,10.43,220496
150,2008-03-06,10.76,11.0,10.17,10.2,34241
151,2008-03-07,10.07,10.6,9.81,9.82,16759
152,2008-03-10,9.84,10.04,9.44,9.44,12473
153,2008-03-11,9.7,9.95,9.34,9.51,76349
154,2008-03-12,9.71,10.04,9.71,9.85,14499
155,2008-03-13,10.11,10.11,9.62,9.62,28815
156,2008-03-14,9.58,9.58,8.75,8.94,41969
157,2008-03-17,8.94,9.1,8.44,8.55,29651
158,2008-03-18,9.0,9.29,8.71,8.96,112530
159,2008-03-19,8.85,9.42,8.85,9.25,11495
160,2008-03-20,9.26,9.94,9.23,9.74,57519
161,2008-03-24,9.99,9.99,8.95,8.98,24169
162,2008-03-25,9.15,9.9,8.49,9.0,33510
163,2008-03-26,8.9,9.29,8.5,8.58,10770
164,2008-03-27,8.72,8.91,8.54,8.85,49458
165,2008-03-28,10.25,10.25,8.0,8.51,30539
166,2008-03-31,8.38,9.5,7.83,8.0,17646
167,2008-04-01,8.24,8.89,7.74,8.5,33696
168,2008-04-02,8.55,8.55,7.52,8.32,7505
169,2008-04-03,8.24,8.47,7.53,8.29,12562
170,2008-04-04,8.53,8.75,8.22,8.55,46365
171,2008-04-07,8.8,10.11,8.8,9.72,24075
172,2008-04-08,9.61,10.81,9.04,10.77,15650
173,2008-04-09,10.74,10.74,9.4,10.32,22917
174,2008-04-10,10.2,10.57,9.91,10.57,8590
175,2008-04-11,9.0,10.57,9.0,9.92,10459
176,2008-04-14,9.76,10.42,9.76,10.0,15160
177,2008-04-15,10.2,11.77,10.0,10.65,44174
178,2008-04-16,10.78,11.8,10.31,11.8,31743
179,2008-04-17,11.69,11.84,11.27,11.27,5740
180,2008-04-18,11.33,11.67,11.0,11.1,11651
181,2008-04-21,11.0,11.57,11.0,11.01,5292
182,2008-04-22,10.94,11.19,10.9,11.02,38678
183,2008-04-23,11.08,11.08,10.81,11.03,5025
184,2008-04-24,11.08,12.9,11.08,12.86,11557
185,2008-04-25,13.48,13.48,10.51,12.64,17466
186,2008-04-28,11.0,13.1,11.0,11.86,20516
187,2008-04-29,11.97,12.53,11.5,12.13,10192
188,2008-04-30,13.48,17.13,13.48,14.32,144015
189,2008-05-01,15.03,16.5,13.43,13.56,33765
190,2008-05-02,13.46,15.23,13.14,14.02,21478
191,2008-05-05,14.37,14.37,12.2,12.25,22236
192,2008-05-06,12.07,12.58,11.22,12.55,48678
193,2008-05-07,12.6,12.75,12.34,12.4,16004
194,2008-05-08,12.5,12.6,12.2,12.34,16960
195,2008-05-09,12.1,12.3,11.25,11.76,53300
196,2008-05-12,11.92,12.2,11.42,11.99,7687
197,2008-05-13,12.0,12.0,11.71,11.74,48078
198,2008-05-14,11.73,11.8,10.65,11.05,171383
199,2008-05-15,11.1,11.5,11.1,11.16,30178
200,2008-05-16,11.29,11.29,10.15,10.33,38135
201,2008-05-19,10.28,11.03,10.0,10.75,63227
202,2008-05-20,10.85,10.97,10.48,10.49,94497
203,2008-05-21,10.6,10.6,9.58,9.58,152055
204,2008-05-22,9.58,11.46,9.56,11.41,21800
205,2008-05-23,11.24,12.99,10.39,12.4,39148
206,2008-05-27,12.33,12.63,11.64,12.18,79684
207,2008-05-28,12.17,12.17,11.76,11.94,14131
208,2008-05-29,11.92,12.05,11.1,11.24,197207
209,2008-05-30,11.16,11.79,10.67,10.68,94191
210,2008-06-02,10.79,10.88,9.55,10.25,77268
211,2008-06-03,10.41,11.4,10.34,10.67,17652
212,2008-06-04,10.71,10.77,10.39,10.7,34636
213,2008-06-05,10.65,12.09,10.65,11.41,65167
214,2008-06-06,11.3,11.55,10.02,10.23,18620
215,2008-06-09,10.5,10.52,10.0,10.01,15669
216,2008-06-10,10.0,10.27,9.93,10.14,19717
217,2008-06-11,10.18,10.18,9.7,9.72,42145
218,2008-06-12,9.84,10.28,9.8,9.83,5926
219,2008-06-13,9.85,10.73,9.85,10.6,22470
220,2008-06-16,10.57,10.57,10.01,10.53,24101
221,2008-06-17,10.54,10.6,10.06,10.49,19408
222,2008-06-18,10.35,10.53,10.09,10.5,11366
223,2008-06-19,10.54,10.96,10.18,10.7,12948
224,2008-06-20,10.55,10.96,10.01,10.57,45846
225,2008-06-23,10.46,10.6,10.04,10.04,31472
226,2008-06-24,10.01,10.14,9.63,9.78,22128
227,2008-06-25,9.89,10.6,9.81,10.59,22174
228,2008-06-26,10.3,10.73,9.67,10.62,55160
229,2008-06-27,10.55,10.55,9.52,9.93,598849
230,2008-06-30,9.95,10.98,9.56,10.73,50583
231,2008-07-01,10.62,10.84,10.44,10.75,44082
232,2008-07-02,10.72,10.72,9.6,9.61,44863
233,2008-07-03,9.61,9.74,9.26,9.34,28552
234,2008-07-07,9.41,9.73,8.76,8.76,43248
235,2008-07-08,8.79,9.26,8.39,9.26,26980
236,2008-07-09,9.24,9.74,8.91,9.45,24569
237,2008-07-10,9.38,9.45,8.69,9.3,18506
238,2008-07-11,9.07,11.43,9.07,10.88,101856
239,2008-07-14,11.0,11.53,10.53,11.42,150754
240,2008-07-15,11.31,11.75,10.63,11.2,89172
241,2008-07-16,11.21,11.21,10.52,10.64,38804
242,2008-07-17,10.71,11.71,10.71,11.13,8599
243,2008-07-18,11.12,11.35,10.42,10.51,58189
244,2008-07-21,9.98,9.98,9.89,9.97,17912
245,2008-07-22,9.9,11.45,9.75,11.06,28769
246,2008-07-23,11.05,11.05,10.36,10.46,14142
247,2008-07-24,10.58,10.93,9.94,10.73,14988
248,2008-07-25,10.89,11.59,10.05,11.46,17910
249,2008-07-28,11.38,11.72,10.31,11.41,11418
250,2008-07-29,11.42,11.89,11.35,11.63,19749
251,2008-07-30,11.78,12.03,11.17,12.03,46503
252,2008-07-31,11.83,12.0,11.4,12.0,14522
253,2008-08-01,12.0,12.0,11.21,11.86,24775
254,2008-08-04,11.75,11.75,10.88,11.26,25870
255,2008-08-05,11.49,11.65,10.57,10.69,57699
256,2008-08-06,10.68,12.0,10.17,11.29,67490
257,2008-08-07,11.41,11.41,10.9,11.23,15443
258,2008-08-08,11.2,12.25,11.1,12.24,32685
259,2008-08-11,12.25,13.0,11.92,12.88,39583
260,2008-08-12,12.86,12.99,12.68,12.68,23303
261,2008-08-13,12.84,12.97,12.04,12.68,38551
262,2008-08-14,12.54,12.63,11.15,11.87,69211
263,2008-08-15,12.98,12.99,11.33,11.68,36842
264,2008-08-18,11.09,11.1,10.79,11.09,31284
265,2008-08-19,10.84,10.85,9.74,9.81,56042
266,2008-08-20,9.87,10.15,9.6,9.69,52921
267,2008-08-21,9.61,10.0,9.61,9.66,17079
268,2008-08-22,9.65,9.9,9.65,9.77,21889
269,2008-08-25,9.78,10.0,9.4,9.59,51534
270,2008-08-26,9.64,9.74,9.4,9.44,32719
271,2008-08-27,9.46,9.5,9.29,9.37,27637
272,2008-08-28,9.37,9.5,9.26,9.45,32897
273,2008-08-29,9.44,9.51,9.4,9.5,41690
274,2008-09-02,9.5,10.17,9.5,9.7,206435
275,2008-09-03,9.82,10.07,9.49,9.52,70851
276,2008-09-04,9.71,9.8,9.48,9.63,54113
277,2008-09-05,9.94,10.45,9.75,10.36,58074
278,2008-09-08,10.5,11.09,10.08,10.96,50094
279,2008-09-09,10.5,10.52,9.98,10.08,49039
280,2008-09-10,10.45,10.58,10.06,10.5,83575
281,2008-09-11,10.19,10.5,10.19,10.48,28569
282,2008-09-12,10.47,10.47,9.37,9.52,28263
283,2008-09-15,9.1,10.73,9.1,10.14,58317
284,2008-09-16,9.54,10.73,9.54,10.62,55129
285,2008-09-17,10.51,10.56,7.72,8.25,117238
286,2008-09-18,8.81,9.6,7.54,9.44,135698
287,2008-09-19,10.21,10.22,8.09,9.86,191181
288,2008-09-22,9.9,10.15,9.16,9.33,36188
289,2008-09-23,9.26,10.0,9.03,9.34,31165
290,2008-09-24,9.04,9.8,9.04,9.39,33164
291,2008-09-25,9.6,9.71,8.72,8.81,33988
292,2008-09-26,8.79,8.95,8.04,8.29,25673
293,2008-09-29,8.36,9.16,6.5,6.88,50900
294,2008-09-30,6.97,8.6,6.97,8.53,30996
295,2008-10-01,8.47,8.56,7.87,7.97,25899
296,2008-10-02,7.92,8.44,7.55,7.55,44764
297,2008-10-03,8.07,8.16,7.27,7.29,46331
298,2008-10-06,7.2,7.5,5.3,6.45,154033
299,2008-10-07,6.62,6.96,6.03,6.06,36158
300,2008-10-08,5.99,6.71,5.7,5.95,44712
301,2008-10-09,6.07,6.48,5.64,5.65,80728
302,2008-10-10,5.52,6.65,5.5,6.65,46717
303,2008-10-13,6.94,7.22,6.03,6.58,87251
304,2008-10-14,6.73,6.73,5.5,6.23,51066
305,2008-10-15,6.17,6.36,6.17,6.2,16642
306,2008-10-16,6.25,8.0,6.0,7.9,30651
307,2008-10-17,7.5,8.43,6.28,7.68,62630
308,2008-10-20,7.9,8.21,7.49,8.18,25623
309,2008-10-21,7.89,8.56,7.89,8.24,34300
310,2008-10-22,8.01,8.01,6.86,6.92,37498
311,2008-10-23,6.96,7.62,6.69,7.33,71279
312,2008-10-24,7.13,7.29,6.36,6.73,46533
313,2008-10-27,6.74,6.82,5.93,6.16,66628
314,2008-10-28,6.34,6.72,5.81,6.72,31828
315,2008-10-29,6.82,6.82,6.37,6.44,25127
316,2008-10-30,6.69,7.49,6.69,7.49,16774
317,2008-10-31,7.48,8.47,7.09,8.23,31591
318,2008-11-03,8.52,8.99,8.31,8.44,27984
319,2008-11-04,8.77,8.77,8.01,8.38,24771
320,2008-11-05,8.41,8.52,7.85,7.88,15635
321,2008-11-06,7.81,7.82,7.1,7.1,15903
322,2008-11-07,7.34,7.8,6.97,7.36,12010
323,2008-11-10,7.61,7.85,6.0,6.0,36466
324,2008-11-11,6.1,6.29,6.0,6.1,25351
325,2008-11-12,6.0,6.42,6.0,6.22,12504
326,2008-11-13,6.0,6.84,6.0,6.84,26316
327,2008-11-14,6.67,6.72,5.76,5.76,25685
328,2008-11-17,5.7,6.06,5.58,6.02,9914
329,2008-11-18,6.03,6.03,5.23,5.31,36771
330,2008-11-19,5.3,5.53,4.75,5.31,53086
331,2008-11-20,5.27,5.67,4.96,5.0,64286
332,2008-11-21,5.12,5.12,3.9,4.0,117512
333,2008-11-24,4.08,6.2,3.87,5.0,105717
334,2008-11-25,5.2,5.22,4.1,4.7,62941
335,2008-11-26,4.53,5.58,4.53,5.5,20489
336,2008-11-28,5.41,6.25,5.37,6.13,8361
337,2008-12-01,5.91,5.91,4.37,4.37,73742
338,2008-12-02,4.48,4.99,4.13,4.96,28592
339,2008-12-03,4.77,4.9,4.52,4.76,32825
340,2008-12-04,4.69,5.02,4.14,4.14,29718
341,2008-12-05,4.1,4.27,3.98,4.15,45106
342,2008-12-08,4.36,4.4,4.03,4.2,58917
343,2008-12-09,4.2,4.43,4.0,4.02,36596
344,2008-12-10,4.09,4.21,3.69,3.77,39059
345,2008-12-11,3.69,4.04,3.4,3.4,78867
346,2008-12-12,3.44,3.6,2.93,3.2,117094
347,2008-12-15,3.32,3.32,2.83,2.84,90044
348,2008-12-16,2.95,2.95,2.74,2.88,108303
349,2008-12-17,2.93,3.62,2.93,3.59,90083
350,2008-12-18,3.58,4.21,3.54,3.93,71688
351,2008-12-19,4.13,4.93,3.63,4.74,112089
352,2008-12-22,4.93,5.67,4.59,5.22,61255
353,2008-12-23,5.41,5.72,5.13,5.16,34072
354,2008-12-24,5.17,5.23,5.12,5.19,3863
355,2008-12-26,5.23,5.36,5.03,5.07,8519
356,2008-12-29,5.06,5.26,4.36,5.03,51027
357,2008-12-30,4.86,5.53,4.86,5.53,26416
358,2008-12-31,5.56,5.75,5.31,5.75,32968
359,2009-01-02,6.33,6.33,5.94,6.09,61710
360,2009-01-05,6.05,6.25,5.4,5.56,31681
361,2009-01-06,5.66,5.99,5.57,5.9,24269
362,2009-01-07,5.73,5.73,5.41,5.65,21435
363,2009-01-08,5.65,5.65,5.3,5.41,18608
364,2009-01-09,5.44,5.45,4.98,4.99,31754
365,2009-01-12,4.99,5.46,4.98,5.25,17590
366,2009-01-13,5.24,5.48,5.14,5.17,56748
367,2009-01-14,5.06,5.5,5.06,5.24,24955
368,2009-01-15,5.24,5.27,5.0,5.1,32377
