,Date,Open,High,Low,Close,Volume
0,2017-07-20,25.23,25.23,25.1,25.11,115636
1,2017-07-21,25.07,25.13,25.0,25.0816,50322
2,2017-07-24,25.09,25.17,25.04,25.08,53529
3,2017-07-25,25.08,25.1,24.9934,25.0489,56437
4,2017-07-26,25.09,25.13,25.03,25.1,35082
5,2017-07-27,25.18,25.19,25.1,25.17,17368
6,2017-07-28,25.18,25.21,25.0982,25.21,48607
7,2017-07-31,25.15,25.219,25.1,25.15,56529
8,2017-08-01,25.2,25.35,25.18,25.24,31156
9,2017-08-02,25.3361,25.48,25.2,25.4,37081
10,2017-08-03,25.4,25.4783,25.28,25.41,37076
11,2017-08-04,25.36,25.449,25.35,25.4294,20614
12,2017-08-07,25.35,25.45,25.25,25.32,45464
13,2017-08-08,25.29,25.42,25.29,25.38,20284
14,2017-08-09,25.39,25.39,25.24,25.26,32959
15,2017-08-10,25.25,25.25,25.07,25.23,73336
16,2017-08-11,25.1,25.199,25.0,25.02,23717
17,2017-08-14,25.13,25.16,25.09,25.09,293753
18,2017-08-15,25.02,25.1679,25.0,25.0,66531
19,2017-08-16,25.03,25.17,25.03,25.1388,93840
20,2017-08-17,25.1,25.15,25.01,25.14,14990
21,2017-08-18,25.14,25.15,25.0208,25.15,8113
22,2017-08-21,25.16,25.16,25.011,25.13,28565
23,2017-08-22,25.15,25.1696,25.08,25.15,3273
24,2017-08-23,25.17,25.2889,25.17,25.2,37792
25,2017-08-24,25.1,25.2,25.06,25.15,10005
26,2017-08-25,25.16,25.28,25.16,25.26,19140
27,2017-08-28,25.11,25.22,25.1,25.22,2721
28,2017-08-29,25.2023,25.24,25.11,25.19,7547
29,2017-08-30,25.19,25.26,25.19,25.26,12520
30,2017-08-31,25.2,25.33,25.2,25.33,3877
31,2017-09-01,25.35,25.39,25.3138,25.38,8983
32,2017-09-05,25.27,25.36,25.25,25.359,17920
33,2017-09-06,25.33,25.36,25.22,25.33,65208
34,2017-09-07,25.3712,25.42,25.31,25.4,17456
35,2017-09-08,25.45,25.69,25.35,25.59,39492
36,2017-09-11,25.43,25.75,25.4,25.69,37981
37,2017-09-12,25.56,25.69,25.41,25.69,322483
38,2017-09-13,25.51,25.85,25.5,25.8,67952
39,2017-09-14,25.61,25.61,25.4,25.59,46180
40,2017-09-15,25.47,25.57,25.33,25.51,4600
41,2017-09-18,25.5,25.66,25.46,25.48,22430
42,2017-09-19,25.4101,25.65,25.4101,25.61,4818
43,2017-09-20,25.48,25.58,25.41,25.49,15700
44,2017-09-21,25.46,25.49,25.43,25.43,11958
45,2017-09-22,25.42,25.52,25.35,25.37,59504
46,2017-09-25,25.46,25.5201,25.46,25.5,17669
47,2017-09-26,25.5,25.5001,25.46,25.5,17043
48,2017-09-27,25.36,25.5,25.36,25.48,136078
49,2017-09-28,25.47,25.58,25.42,25.58,21889
50,2017-09-29,25.57,25.76,25.57,25.76,15640
51,2017-10-02,25.65,25.66,25.6,25.66,7897
52,2017-10-03,25.67,25.85,25.5,25.65,44550
53,2017-10-04,25.77,25.78,25.54,25.68,36649
54,2017-10-05,25.64,25.79,25.5501,25.79,17640
55,2017-10-06,25.7,25.84,25.62,25.84,25162
56,2017-10-09,25.87,25.89,25.72,25.85,41712
57,2017-10-10,25.84,25.89,25.65,25.87,33704
58,2017-10-11,25.6905,25.89,25.6905,25.89,44543
59,2017-10-12,25.8453,25.9,25.82,25.89,33814
60,2017-10-13,25.89,25.95,25.74,25.95,54569
61,2017-10-16,25.8,26.25,25.8,25.89,45804
62,2017-10-17,25.91,26.23,25.82,25.98,33827
63,2017-10-18,26.1,26.1,25.92,25.99,35007
64,2017-10-19,25.93,26.1,25.92,26.09,50550
65,2017-10-20,26.05,26.205,25.88,26.0,515850
66,2017-10-23,25.93,26.09,25.88,26.04,110177
67,2017-10-24,25.89,26.38,25.89,26.18,21439
68,2017-10-25,26.15,26.29,25.99,26.15,55584
69,2017-10-26,26.15,26.28,25.89,26.05,10858
70,2017-10-27,26.0,26.1,25.87,25.91,4172
71,2017-10-30,26.09,26.09,25.891,25.99,3747
72,2017-10-31,25.9132,26.06,25.8829,26.0,12571
73,2017-11-01,25.99,26.08,25.93,25.99,14700
74,2017-11-02,25.8336,26.0187,25.8336,26.0187,4381
75,2017-11-03,25.9,26.0,25.82,26.0,11979
76,2017-11-06,25.8,26.27,25.8,26.025,15059
77,2017-11-07,26.1899,26.33,25.9,26.18,25188
78,2017-11-08,26.18,26.18,25.8001,26.0,16947
79,2017-11-09,25.849,26.03,25.82,25.99,3517
80,2017-11-10,25.98,25.98,25.98,25.98,151
