,Date,Open,High,Low,Close,Volume
0,2005-02-25,6.3329,6.3988,6.1928,6.3082,37617
1,2005-02-28,6.1928,6.3821,6.1435,6.3657,82800
2,2005-03-01,6.1106,6.514,5.9293,6.5059,218572
3,2005-03-02,6.4976,6.4976,6.1765,6.2422,25911
4,2005-03-03,6.3082,6.3412,6.1106,6.2506,327419
5,2005-03-04,6.2588,6.3905,6.1021,6.3412,33768
6,2005-03-07,6.1846,6.3082,6.1765,6.2259,44431
7,2005-03-08,6.1187,6.3329,6.1187,6.2588,106075
8,2005-03-09,6.2422,6.5389,6.1765,6.4235,132304
9,2005-03-10,6.4811,6.5882,6.2259,6.5222,50947
10,2005-03-11,6.4315,6.6706,6.3412,6.44,40662
11,2005-03-14,6.514,6.5882,6.2175,6.5059,28513
12,2005-03-15,6.3657,6.4976,6.2588,6.3493,30125
13,2005-03-16,6.5716,6.5798,6.2588,6.5716,42217
14,2005-03-17,6.3412,6.5882,6.3412,6.5798,16863
15,2005-03-18,6.5389,6.5798,6.2915,6.407,20998
16,2005-03-21,6.3741,6.4153,6.2588,6.3657,36919
17,2005-03-22,6.4235,6.4235,6.2175,6.2588,48642
18,2005-03-23,6.2422,6.2422,6.0939,6.1187,40271
19,2005-03-24,6.0939,6.2832,6.0939,6.2588,63511
20,2005-03-28,6.0939,6.5222,6.0939,6.4976,72486
21,2005-03-29,6.4315,6.4646,6.4235,6.4563,38364
22,2005-03-30,6.4976,6.547,6.407,6.4235,26007
23,2005-03-31,6.4235,6.514,6.3248,6.3821,28640
24,2005-04-01,6.3412,6.3412,6.1435,6.1846,34074
25,2005-04-04,6.3248,6.3329,6.234,6.2506,12748
26,2005-04-05,6.2999,6.3329,6.0528,6.1516,63373
27,2005-04-06,6.2588,6.2999,6.1765,6.2422,52319
28,2005-04-07,6.2753,6.2753,6.0117,6.2175,37769
29,2005-04-08,6.2999,6.2999,6.0117,6.0857,84337
30,2005-04-11,5.9704,6.2175,5.9704,6.0939,108751
31,2005-04-12,6.1928,6.1928,6.0778,6.1516,160648
32,2005-04-13,6.2506,6.2506,6.1351,6.1765,74764
33,2005-04-14,6.0778,6.0778,5.781,5.8222,52481
34,2005-04-15,5.888,5.9293,5.4598,5.4846,38303
35,2005-04-18,5.4516,5.5258,5.0812,5.0812,93984
36,2005-04-19,5.1469,5.1882,4.5295,4.587,180853
37,2005-04-20,4.8009,5.1469,4.6941,5.1469,52637
38,2005-04-21,5.1469,5.1469,4.7351,4.7351,326334
39,2005-04-22,4.4469,4.4469,3.5493,4.1175,777471
40,2005-04-25,4.2245,4.3728,4.0353,4.1753,142478
41,2005-04-26,4.34,4.7764,4.1753,4.6941,450500
42,2005-04-27,4.6941,4.6941,4.4801,4.6529,63283
43,2005-04-28,4.6611,4.6695,4.4222,4.5295,55207
44,2005-04-29,4.6035,4.8997,4.5295,4.7516,45882
45,2005-05-02,4.7023,4.8587,4.4881,4.6035,68371
46,2005-05-03,4.6035,4.6035,4.2,4.266,196782
47,2005-05-04,4.2328,4.7436,4.2328,4.4222,88017
48,2005-05-05,4.3233,4.6117,4.3233,4.5049,78473
49,2005-05-06,4.4716,4.5788,4.3319,4.3563,45175
50,2005-05-09,4.3319,4.521,4.3319,4.3645,35187
51,2005-05-10,4.3812,4.4386,4.3069,4.3319,43271
52,2005-05-11,4.3563,4.4059,4.2826,4.3233,103591
53,2005-05-12,4.4305,4.4553,4.2826,4.4141,123093
54,2005-05-13,4.3812,4.7764,4.3563,4.521,574833
55,2005-05-16,4.6117,4.6197,4.3563,4.3894,63294
56,2005-05-17,4.4059,4.4881,3.7882,4.2245,367294
57,2005-05-18,4.1175,4.3563,4.0435,4.2826,133750
58,2005-05-19,4.2576,4.3728,4.2,4.3233,54658
59,2005-05-20,4.3069,4.4386,4.2826,4.3728,40279
60,2005-05-23,4.3728,4.4059,4.3233,4.3233,54327
61,2005-05-24,4.3728,4.4059,4.2988,4.3977,41865
62,2005-05-25,4.3233,4.4305,4.2906,4.3233,46714
