,Date,Open,High,Low,Close,Volume
0,2016-06-09,39.929,39.969,39.68,39.77,161842
1,2016-06-10,40.129,40.304,40.029,40.208,44822
2,2016-06-13,41.086,41.086,40.208,40.468,8802
3,2016-06-14,40.508,40.787,40.488,40.608,53366
4,2016-06-15,40.548,40.648,40.408,40.648,34798
5,2016-06-16,40.987,41.026,40.776,40.776,33541
6,2016-06-17,40.768,40.768,40.668,40.668,12730
7,2016-06-20,40.827,40.827,40.089,40.428,50150
8,2016-06-21,40.368,40.408,40.188,40.188,40567
9,2016-06-22,40.388,40.388,40.288,40.348,35080
10,2016-06-23,40.049,40.069,39.81,39.81,25249
11,2016-06-24,40.967,41.324,40.684,41.186,3190
12,2016-06-27,41.805,42.104,41.705,42.084,3777
13,2016-06-28,41.566,41.566,41.271,41.271,25380
14,2016-06-29,40.839,40.839,40.564,40.564,26359
15,2016-06-30,40.465,40.465,40.069,40.069,25911
16,2016-07-01,39.969,39.969,39.889,39.889,13047
17,2016-07-05,40.208,40.246,40.168,40.246,29569
18,2016-07-06,41.106,41.106,39.929,39.949,15895
19,2016-07-07,39.889,40.075,39.81,40.009,52799
20,2016-07-08,39.487,39.487,39.37,39.41,15777
21,2016-07-11,39.219,39.271,39.147,39.271,15840
22,2016-07-12,39.151,39.151,38.932,38.992,31461
23,2016-07-13,38.912,39.011,38.912,38.992,31080
24,2016-07-14,38.712,38.832,38.672,38.792,102590
25,2016-07-15,38.71,38.932,38.71,38.852,39468
26,2016-07-18,38.732,38.872,38.698,38.732,42855
27,2016-07-19,38.792,38.832,38.772,38.792,37433
28,2016-07-20,38.552,38.692,38.534,38.612,65093
29,2016-07-21,38.632,38.772,38.612,38.752,48115
30,2016-07-22,38.732,38.732,38.572,38.572,50466
31,2016-07-25,38.712,38.792,38.672,38.672,23031
32,2016-07-26,38.692,38.752,38.592,38.672,48994
33,2016-07-27,38.612,38.792,38.612,38.712,10882
34,2016-07-28,38.852,38.852,38.632,38.672,16791
35,2016-07-29,38.652,38.672,38.537,38.612,11865
36,2016-08-01,38.612,38.692,38.572,38.652,37247
37,2016-08-02,38.712,39.028,38.712,38.892,8001
38,2016-08-03,39.011,39.011,38.752,38.772,30442
39,2016-08-04,38.672,38.752,38.672,38.732,23976
40,2016-08-05,38.512,38.552,38.413,38.432,14727
41,2016-08-08,38.333,38.472,38.333,38.452,22689
42,2016-08-09,38.413,38.452,38.313,38.432,4658
43,2016-08-10,38.413,38.572,38.413,38.512,37467
44,2016-08-11,38.432,38.432,38.291,38.333,14212
45,2016-08-12,38.492,38.492,38.329,38.393,12230
46,2016-08-15,38.273,38.273,38.193,38.273,21038
47,2016-08-16,38.353,38.452,38.333,38.452,22244
48,2016-08-17,38.512,38.592,38.373,38.393,29357
49,2016-08-18,38.492,38.492,38.273,38.293,8150
50,2016-08-19,38.432,38.432,38.313,38.353,7021
51,2016-08-22,38.432,38.439,38.313,38.393,30391
52,2016-08-23,38.2,38.293,38.173,38.293,2716
53,2016-08-24,38.413,38.532,38.293,38.472,18039
54,2016-08-25,38.632,38.632,38.472,38.532,22365
55,2016-08-26,38.532,38.732,38.273,38.632,62339
56,2016-08-29,38.612,38.612,38.373,38.413,9893
57,2016-08-30,38.373,38.492,38.353,38.472,8816
58,2016-08-31,38.522,38.732,38.472,38.572,4409
59,2016-09-01,38.632,38.752,38.512,38.552,9555
60,2016-09-02,38.452,38.472,38.313,38.393,23786
61,2016-09-06,38.353,38.432,38.273,38.273,920
62,2016-09-07,38.353,38.366,38.273,38.273,2729
63,2016-09-08,38.413,38.413,38.313,38.373,11537
64,2016-09-09,38.732,39.29,38.632,39.29,28627
65,2016-09-12,39.55,39.55,38.692,38.732,24635
66,2016-09-13,39.031,39.41,39.011,39.251,29790
67,2016-09-14,39.35,39.35,39.011,39.251,26102
68,2016-09-15,39.253,39.253,38.792,38.912,28258
69,2016-09-16,39.131,39.171,38.972,39.091,50644
70,2016-09-19,38.792,39.091,38.772,39.091,25149
71,2016-09-20,38.812,39.051,38.812,39.051,21159
