,Date,Open,High,Low,Close,Volume
0,2017-08-10,3.4,3.75,3.4,3.4,232111
1,2017-08-11,3.89,4.094,3.5,3.5,60600
2,2017-08-14,3.88,4.05,3.7,3.75,70921
3,2017-08-15,4.05,4.05,3.79,3.8,33741
4,2017-08-16,3.82,4.0,3.8,3.97,27704
5,2017-08-17,3.8,3.98,3.75,3.75,14009
6,2017-08-18,3.76,4.0,3.76,3.94,36741
7,2017-08-21,3.94,4.0,3.75,4.0,17182
8,2017-08-22,4.0,4.0,3.8,3.9,18088
9,2017-08-23,3.8,4.05,3.78,3.95,39290
10,2017-08-24,3.8,4.06,3.8,4.01,9409
11,2017-08-25,4.06,4.06,3.955,3.9955,5160
12,2017-08-28,3.88,3.9041,3.85,3.87,8156
13,2017-08-29,3.86,4.0,3.86,4.0,1357
14,2017-08-30,4.06,4.06,3.902,3.98,10918
15,2017-08-31,4.1307,4.1307,3.89,3.89,5410
16,2017-09-01,4.0,4.0,3.8501,3.9,4013
17,2017-09-05,3.85,3.9,3.8,3.85,38994
18,2017-09-06,3.87,4.1,3.8,4.1,12725
19,2017-09-07,3.95,4.0,3.81,3.81,14744
20,2017-09-08,3.89,4.05,3.86,4.05,9301
21,2017-09-11,4.1,4.1,3.9005,4.1,13403
22,2017-09-12,4.1,4.1,3.8901,4.05,19230
23,2017-09-13,4.0,4.05,3.84,4.05,11752
24,2017-09-14,4.05,4.05,3.9,4.05,6910
25,2017-09-15,4.05,4.165,3.67,3.78,29927
26,2017-09-18,3.83,3.98,3.76,3.78,11252
27,2017-09-19,3.78,3.8014,3.7599,3.7599,1663
28,2017-09-20,3.75,3.75,3.65,3.7,9547
29,2017-09-21,3.7,3.76,3.65,3.69,8683
30,2017-09-22,3.85,3.875,3.79,3.8,6773
31,2017-09-25,3.77,3.77,3.61,3.61,48699
32,2017-09-26,3.64,3.67,3.6,3.63,11252
33,2017-09-27,3.65,4.0,3.65,3.98,31138
34,2017-09-28,3.98,4.13,3.942,3.97,16462
35,2017-09-29,3.95,4.02,3.95,3.9892,2043
36,2017-10-02,3.95,4.02,3.95,4.0,13066
37,2017-10-03,4.04,4.04,3.9501,3.96,16752
38,2017-10-04,3.99,4.01,3.99,4.01,9906
39,2017-10-05,4.0,4.1999,4.0,4.05,15605
40,2017-10-06,4.01,4.23,4.01,4.05,7370
41,2017-10-09,4.0,4.001,4.0,4.0,3638
42,2017-10-10,4.03,4.092,3.99,4.035,1749
43,2017-10-11,4.06,4.0618,3.92,3.92,18449
44,2017-10-12,3.92,3.92,3.8076,3.81,6889
45,2017-10-13,3.84,4.06,3.84,3.9,6630
46,2017-10-16,3.95,3.95,3.86,3.86,10371
47,2017-10-17,3.9,3.9678,3.8693,3.91,8541
48,2017-10-18,3.93,3.93,3.8,3.81,11838
49,2017-10-19,3.8,4.0898,3.8,4.0,37046
50,2017-10-20,4.02,4.02,3.94,3.946,4227
51,2017-10-23,4.0,4.0721,3.9445,4.0599,11032
52,2017-10-24,3.96,4.0458,3.96,3.97,4019
53,2017-10-25,4.1,4.1,4.04,4.04,3750
54,2017-10-26,4.09,4.09,3.96,3.96,22563
55,2017-10-27,4.0,4.0799,3.99,3.99,11890
56,2017-10-30,4.031,4.07,4.031,4.07,1507
57,2017-10-31,4.06,4.069,3.96,3.96,3217
58,2017-11-01,4.04,4.06,3.95,4.0,36128
59,2017-11-02,4.0511,4.055,3.978,4.0205,1349
60,2017-11-03,4.05,4.05,3.97,4.0,8834
61,2017-11-06,4.0,4.0,3.9612,3.9612,1928
62,2017-11-07,4.02,4.051,4.0,4.0,2658
63,2017-11-08,4.0028,4.0028,3.94,3.9426,11713
64,2017-11-09,3.9128,3.95,3.89,3.94,10075
65,2017-11-10,4.0,4.1,3.95,4.05,115053
