,Date,Open,High,Low,Close,Volume
0,2017-08-21,65.04,65.04,65.0,65.0,400
1,2017-09-07,62.0,62.0,62.0,62.0,100
2,2017-09-13,65.0,65.0,65.0,65.0,100
3,2017-09-14,65.11,65.12,65.11,65.12,811
4,2017-09-15,64.95,64.95,64.77,64.95,500
5,2017-09-20,68.0,68.7,68.0,68.7,400
6,2017-09-27,69.75,71.0,69.75,71.0,520
7,2017-10-02,70.45,70.45,70.45,70.45,300
8,2017-10-16,73.5,73.5,73.5,73.5,100
9,2017-10-20,72.39,72.39,72.39,72.39,100
10,2017-10-24,72.89,74.0,72.89,74.0,550
11,2017-10-25,73.5,73.5,73.5,73.5,100
12,2017-10-26,73.8,74.1268,73.8,74.1268,200
13,2017-10-30,74.0,74.0,74.0,74.0,100
14,2017-11-02,72.0,74.0,72.0,74.0,582
15,2017-11-03,73.22,73.22,73.22,73.22,100
16,2017-11-07,72.0,72.0,72.0,72.0,100
17,2017-11-10,70.0,70.0,70.0,70.0,100
