,Date,Open,High,Low,Close,Volume
0,2014-11-14,0.73,0.79,0.73,0.79,513
1,2014-11-17,0.56,0.8,0.56,0.8,1104
2,2014-11-19,0.76,0.85,0.76,0.76,1838
3,2014-11-20,0.77,0.84,0.67,0.82,4855
4,2014-11-21,0.87,1.03,0.87,1.03,2272
5,2014-11-24,0.97,0.97,0.85,0.89,1388
6,2014-11-25,0.94,0.94,0.84,0.88,1150
7,2014-11-26,0.82,0.92,0.8,0.92,739
8,2014-11-28,0.87,0.87,0.75,0.75,500
9,2014-12-01,0.7,0.7,0.42,0.64,13340
10,2014-12-02,0.64,0.64,0.5,0.56,8267
11,2014-12-03,0.57,0.71,0.53,0.68,11047
12,2014-12-04,0.68,0.71,0.65,0.68,539
13,2014-12-05,0.63,0.72,0.63,0.72,691
14,2014-12-08,0.75,0.75,0.57,0.63,1594
15,2014-12-09,0.67,0.76,0.65,0.76,4837
16,2014-12-10,0.75,0.75,0.69,0.72,5459
17,2014-12-11,0.73,0.77,0.65,0.77,8053
18,2014-12-12,0.73,0.75,0.73,0.73,2764
19,2014-12-15,0.63,0.63,0.59,0.63,482
20,2014-12-16,0.67,0.67,0.55,0.62,2697
21,2014-12-17,0.52,0.87,0.52,0.87,5765
22,2014-12-18,0.85,0.92,0.81,0.92,1015
23,2014-12-19,0.86,1.03,0.86,0.9,3280
24,2014-12-22,0.77,0.81,0.77,0.81,304
25,2014-12-23,0.83,0.83,0.79,0.79,2083
26,2014-12-24,0.75,0.87,0.75,0.87,3038
27,2014-12-26,0.72,0.75,0.7,0.75,614
28,2014-12-29,0.8,0.9,0.8,0.86,4510
29,2014-12-30,0.85,0.85,0.76,0.84,1850
30,2014-12-31,0.88,0.88,0.82,0.86,2319
31,2015-01-02,0.78,0.86,0.78,0.86,789
32,2015-01-05,0.91,0.91,0.75,0.83,1690
33,2015-01-06,0.83,0.83,0.83,0.83,1649
34,2015-01-07,0.86,0.86,0.86,0.86,300
35,2015-01-08,0.79,0.85,0.79,0.85,1120
36,2015-01-13,0.79,0.79,0.65,0.65,3528
37,2015-01-14,0.59,0.59,0.47,0.5,4319
38,2015-01-15,0.51,0.51,0.51,0.51,641
39,2015-01-16,0.58,0.59,0.58,0.59,571
40,2015-01-20,0.4,0.66,0.4,0.66,2441
41,2015-01-21,0.79,0.79,0.79,0.79,200
42,2015-01-22,0.78,0.78,0.78,0.78,255
43,2015-01-23,0.72,0.72,0.65,0.65,2466
44,2015-01-26,0.62,0.77,0.62,0.77,603
45,2015-01-27,0.7,0.7,0.7,0.7,217
46,2015-01-28,0.64,0.64,0.63,0.63,1038
47,2015-01-29,0.57,0.57,0.56,0.56,450
48,2015-01-30,0.63,0.63,0.63,0.63,100
49,2015-02-02,0.64,0.64,0.64,0.64,100
50,2015-02-03,0.7,0.87,0.7,0.87,1098
51,2015-02-04,0.8,0.8,0.76,0.76,2503
52,2015-02-05,0.84,0.87,0.84,0.84,400
53,2015-02-09,0.82,0.86,0.82,0.82,393
54,2015-02-12,0.75,0.91,0.75,0.91,1921
55,2015-02-13,0.84,0.96,0.84,0.96,12534
56,2015-02-17,0.93,0.99,0.93,0.99,3481
57,2015-02-19,1.05,1.1,1.05,1.09,1674
58,2015-02-20,1.04,1.04,0.94,1.0,1830
59,2015-02-23,0.96,0.96,0.92,0.92,4755
60,2015-02-24,0.99,1.05,0.99,1.05,1418
61,2015-02-25,1.0,1.0,0.99,0.99,4355
62,2015-02-27,0.92,1.03,0.92,1.03,962
63,2015-03-03,0.96,0.96,0.91,0.91,1200
64,2015-03-04,0.8229,0.8229,0.82,0.82,1051
65,2015-03-05,0.7612,0.7675,0.7612,0.7674,1794
66,2015-03-12,0.7203,0.7633,0.6686,0.7633,2200
67,2015-03-13,0.7163,0.7163,0.6335,0.6335,461
68,2015-03-16,0.6147,0.7,0.6147,0.7,600
69,2015-03-17,0.6551,0.67,0.6551,0.67,970
70,2015-03-19,0.6262,0.6562,0.6262,0.6562,200
71,2015-03-20,0.6129,0.774,0.6129,0.731,2600
72,2015-03-23,0.7942,0.9765,0.7942,0.9765,3960
73,2015-03-26,0.9532,0.9532,0.8915,0.8915,200
74,2015-03-27,0.9424,0.9524,0.9424,0.9524,200
75,2015-03-30,0.9037,0.972,0.9037,0.972,400
76,2015-03-31,0.9189,0.9189,0.8441,0.8761,1633
77,2015-04-01,0.9273,0.956,0.9273,0.956,200
78,2015-04-06,1.0,1.0,1.0,1.0,367
79,2015-04-07,0.9845,1.0,0.9845,0.992,5580
80,2015-04-08,1.05,1.05,1.05,1.05,5844
81,2015-04-09,1.01,1.01,1.01,1.01,100
82,2015-04-10,1.09,1.13,1.09,1.1,2000
83,2015-04-13,1.02,1.0201,1.02,1.0201,270
84,2015-04-14,0.9557,1.01,0.9557,1.01,372
85,2015-04-15,0.83,1.09,0.83,1.09,2466
86,2015-04-17,0.9969,0.9969,0.8117,0.9823,1488
87,2015-04-20,1.15,1.15,0.9856,1.07,3700
88,2015-04-21,1.06,1.06,0.983,0.983,2785
89,2015-04-23,0.9597,1.05,0.9597,1.01,591
90,2015-04-24,1.07,1.15,0.8493,0.9972,8595
91,2015-04-27,1.06,1.28,1.06,1.16,5200
92,2015-04-28,1.22,1.22,1.22,1.22,900
93,2015-04-29,1.17,1.25,1.17,1.23,600
94,2015-04-30,1.28,1.37,1.28,1.37,26327
95,2015-05-01,1.38,1.52,1.38,1.52,21104
96,2015-05-04,1.52,1.6,1.52,1.6,1916
97,2015-05-05,1.61,1.73,1.59,1.59,2092
98,2015-05-06,1.45,1.49,1.25,1.32,8634
99,2015-05-07,1.29,1.36,1.23,1.36,1500
100,2015-05-08,1.44,1.5424,1.44,1.49,3330
101,2015-05-11,1.56,1.59,1.42,1.42,3300
102,2015-05-12,1.42,1.42,1.42,1.42,100
103,2015-05-13,1.36,1.42,1.36,1.36,1300
104,2015-05-14,1.42,1.58,1.37,1.37,4700
105,2015-05-15,1.44,1.44,1.44,1.44,400
106,2015-05-18,1.35,1.35,1.35,1.35,400
107,2015-05-19,1.35,1.35,1.26,1.26,2994
108,2015-05-20,1.33,1.37,1.3,1.3,463
109,2015-05-26,1.23,1.23,1.15,1.15,1800
110,2015-05-27,1.18,1.184,1.18,1.18,2820
111,2015-05-28,1.18,1.187,1.1723,1.1723,812
