,Date,Open,High,Low,Close,Volume
0,1993-12-14,9.2199,9.2199,9.1232,9.2199,8809586
1,1993-12-15,9.2199,9.2199,9.1232,9.2199,2093425
2,1993-12-16,9.2199,9.2762,9.1703,9.2199,713099
3,1993-12-17,9.2199,9.2199,9.1703,9.1703,560220
4,1993-12-20,9.1703,9.2199,9.1703,9.2199,623438
5,1993-12-21,9.1703,9.2199,9.1232,9.1703,355566
6,1993-12-22,9.1703,9.2199,9.1703,9.2199,313872
7,1993-12-23,9.2199,9.2199,9.1703,9.2199,168249
8,1993-12-27,9.2199,9.2199,9.1703,9.1703,187565
9,1993-12-28,9.1703,9.2199,9.1703,9.2199,323717
10,1993-12-29,9.2199,9.2762,9.1703,9.2199,292839
11,1993-12-30,9.2762,9.2762,9.2199,9.2199,175633
12,1993-12-31,9.2199,9.2762,9.1703,9.2762,229379
13,1994-01-03,9.2199,9.2762,9.2199,9.2199,356426
14,1994-01-04,9.2762,9.2762,9.2199,9.2762,269966
15,1994-01-05,9.2199,9.3251,9.2199,9.2199,274146
16,1994-01-06,9.2199,9.2762,9.2199,9.2199,171940
17,1994-01-07,9.2762,9.3251,9.2199,9.3251,357040
18,1994-01-10,9.3251,9.4804,9.2762,9.4319,497988
19,1994-01-11,9.3751,9.635,9.3751,9.528,587527
20,1994-01-12,9.579,9.579,9.528,9.528,415834
21,1994-01-13,9.528,9.686,9.528,9.686,480037
22,1994-01-14,9.686,9.731,9.528,9.635,476221
23,1994-01-17,9.686,9.686,9.579,9.635,189160
24,1994-01-18,9.579,9.686,9.579,9.686,392097
25,1994-01-19,9.635,9.635,9.579,9.635,292716
26,1994-01-20,9.635,9.686,9.579,9.686,251762
27,1994-01-21,9.635,9.731,9.579,9.686,288664
28,1994-01-24,9.635,9.686,9.579,9.579,414238
29,1994-01-25,9.528,9.686,9.528,9.686,305264
30,1994-01-26,9.731,9.942,9.731,9.835,973596
31,1994-01-27,9.888,10.089,9.835,10.042,677432
32,1994-01-28,10.042,10.089,9.942,10.089,519638
33,1994-01-31,10.089,10.089,9.993,10.042,431205
34,1994-02-01,10.089,10.246,10.042,10.246,538947
35,1994-02-02,10.246,10.246,10.148,10.195,269966
36,1994-02-03,10.246,10.35,10.148,10.195,1777462
37,1994-02-04,10.195,10.195,9.888,9.993,711994
38,1994-02-07,9.993,10.089,9.888,10.042,499344
39,1994-02-08,10.089,10.246,10.089,10.246,936820
40,1994-02-09,10.195,10.246,10.089,10.148,582237
41,1994-02-10,10.148,10.195,9.942,10.089,1177269
42,1994-02-11,10.148,10.4,10.148,10.35,325311
43,1994-02-14,10.35,10.661,10.35,10.506,1173947
44,1994-02-15,10.553,10.613,10.246,10.4,1739706
45,1994-02-16,10.4,10.506,10.35,10.506,381270
46,1994-02-17,10.455,10.613,10.455,10.613,388407
47,1994-02-18,10.553,10.613,10.4,10.613,382378
48,1994-02-22,10.553,10.708,10.553,10.661,317320
49,1994-02-23,10.708,10.814,10.613,10.814,465027
50,1994-02-24,10.814,10.911,10.708,10.911,372419
51,1994-02-25,10.863,10.911,10.757,10.863,318546
52,1994-02-28,10.863,10.863,10.553,10.553,315347
53,1994-03-01,10.455,10.757,10.455,10.708,685917
54,1994-03-02,10.553,10.757,10.455,10.757,360732
55,1994-03-03,10.814,10.814,10.553,10.661,419643
56,1994-03-04,10.661,10.814,10.553,10.661,372784
57,1994-03-07,10.661,10.863,10.661,10.863,329860
58,1994-03-08,10.863,10.863,10.814,10.814,275747
59,1994-03-09,10.814,11.018,10.757,10.863,309074
60,1994-03-10,10.911,11.065,10.863,10.863,398858
61,1994-03-11,10.911,11.172,10.863,11.065,362576
62,1994-03-14,11.065,11.172,11.018,11.125,259144
63,1994-03-15,11.125,11.269,10.967,11.172,304034
64,1994-03-16,11.269,11.423,11.172,11.269,277590
65,1994-03-17,11.269,11.325,10.967,10.967,322483
66,1994-03-18,10.967,11.325,10.967,11.325,321988
67,1994-03-21,11.325,11.423,11.221,11.269,158412
68,1994-03-22,11.473,11.473,11.212,11.473,244014
69,1994-03-23,11.473,11.675,11.473,11.675,503034
70,1994-03-24,11.675,11.675,11.416,11.578,207117
71,1994-03-25,11.521,11.675,11.473,11.578,371186
72,1994-03-28,11.521,11.521,11.107,11.107,242168
73,1994-03-29,11.107,11.107,10.74,10.788,551122
74,1994-03-30,10.528,10.788,10.008,10.788,358762
75,1994-03-31,10.788,10.896,10.633,10.692,237370
76,1994-04-04,10.008,10.788,9.853,10.43,256559
77,1994-04-05,10.528,10.788,10.528,10.692,226796
78,1994-04-06,10.788,10.953,10.586,10.846,366388
79,1994-04-07,10.846,10.846,10.788,10.788,202688
80,1994-04-08,10.846,10.846,10.74,10.788,132460
81,1994-04-11,10.788,10.788,10.692,10.788,198875
82,1994-04-12,10.788,10.788,10.692,10.788,175384
83,1994-04-13,10.788,10.788,10.692,10.74,139468
84,1994-04-14,10.788,10.953,10.74,10.953,198505
85,1994-04-15,10.896,10.896,10.692,10.74,109463
86,1994-04-18,10.788,10.896,10.692,10.846,95809
87,1994-04-19,10.896,10.896,10.74,10.788,121025
88,1994-04-20,10.846,10.846,10.692,10.74,89169
89,1994-04-21,10.788,10.896,10.692,10.74,94825
90,1994-04-22,10.788,10.896,10.586,10.633,174401
91,1994-04-25,10.692,10.74,10.633,10.692,206255
92,1994-04-26,10.74,10.788,10.692,10.692,169604
93,1994-04-28,10.692,10.788,10.692,10.788,155952
94,1994-04-29,10.788,11.154,10.74,11.154,169483
95,1994-05-02,11.154,11.473,11.154,11.367,103435
96,1994-05-03,11.367,11.416,11.107,11.154,134183
97,1994-05-04,11.26,11.318,10.896,11.057,125452
98,1994-05-05,11.057,11.367,11.057,11.367,177965
99,1994-05-06,11.416,11.473,11.212,11.473,121515
100,1994-05-09,11.473,11.628,11.212,11.473,109097
101,1994-05-10,11.367,11.628,11.367,11.578,101712
102,1994-05-11,11.578,11.578,11.26,11.26,127173
103,1994-05-12,11.318,11.521,11.26,11.473,99377
104,1994-05-13,11.578,11.578,11.212,11.367,80069
105,1994-05-16,11.318,11.416,11.318,11.416,180674
106,1994-05-17,11.416,11.473,11.318,11.473,176862
