,Date,Open,High,Low,Close,Volume
0,2005-02-25,9.1822,9.1822,9.0423,9.0792,338843
1,2005-02-28,9.1171,9.1171,8.9686,9.0108,258537
2,2005-03-01,9.1095,9.1171,9.0023,9.0423,362336
3,2005-03-02,8.9891,9.0925,8.8986,8.945,324152
4,2005-03-03,9.0423,9.0792,8.9366,9.0023,346862
5,2005-03-04,9.0792,9.1249,8.9816,8.9816,428468
6,2005-03-07,9.1009,9.1171,8.9816,8.9816,429953
7,2005-03-08,9.0108,9.0858,8.9751,8.9816,349475
8,2005-03-09,9.2224,9.2224,8.8922,8.8922,357594
9,2005-03-10,9.0023,9.0345,8.8233,8.8319,419405
10,2005-03-11,8.8319,9.0195,8.8319,8.961,411350
11,2005-03-14,8.8773,9.0271,8.8467,8.9526,455791
12,2005-03-15,9.0023,9.0195,8.8076,8.8233,227506
13,2005-03-16,8.8624,8.945,8.8021,8.8159,235945
14,2005-03-17,8.8709,8.9061,8.7414,8.8076,218711
15,2005-03-18,8.6828,8.9526,8.6828,8.855,705434
16,2005-03-21,8.7939,8.8393,8.6598,8.7727,185760
17,2005-03-22,8.7799,8.8021,8.5913,8.622,204629
18,2005-03-23,8.6137,8.6137,8.457,8.4795,301334
19,2005-03-24,8.6057,8.622,8.4261,8.4261,197609
20,2005-03-28,8.5769,8.6362,8.4191,8.6137,261793
21,2005-03-29,8.6137,8.7185,8.4041,8.4715,232213
22,2005-03-30,8.5535,8.7572,8.4795,8.7572,244639
23,2005-03-31,8.7799,8.7799,8.4937,8.622,307016
24,2005-04-01,8.8076,8.8076,8.254,8.3667,343844
25,2005-04-04,8.3291,8.6291,8.3291,8.532,260017
26,2005-04-05,8.5535,8.6291,8.4715,8.4937,323085
27,2005-04-06,8.5769,8.7116,8.5392,8.6137,340626
28,2005-04-07,8.6963,8.7572,8.5089,8.7034,203563
29,2005-04-08,8.5995,8.7116,8.4422,8.457,198633
30,2005-04-11,8.5392,8.585,8.3815,8.4422,191847
31,2005-04-12,8.4112,8.7116,8.3587,8.6752,307554
32,2005-04-13,8.7496,8.7496,8.4112,8.4715,252770
33,2005-04-14,8.4715,8.5769,8.254,8.254,275432
34,2005-04-15,8.3815,8.5162,8.2463,8.254,337048
35,2005-04-18,8.3587,8.4341,8.254,8.4191,334562
36,2005-04-19,8.3587,8.5162,8.337,8.4492,161475
37,2005-04-20,8.4492,8.4715,8.2463,8.254,496326
38,2005-04-21,8.2914,8.3439,8.1491,8.2841,538575
39,2005-04-22,8.3064,8.3064,8.0515,8.1338,297594
40,2005-04-25,8.074,8.3291,8.074,8.3291,348454
41,2005-04-26,8.3439,8.3509,8.1265,8.164,269670
42,2005-04-27,8.1866,8.4191,8.0963,8.2841,394609
43,2005-04-28,8.3737,8.3737,8.119,8.119,238389
44,2005-04-29,8.2463,8.2615,8.074,8.2615,274052
45,2005-05-02,8.3064,8.3509,8.209,8.3439,302735
46,2005-05-03,8.3667,8.4041,8.254,8.2615,223225
47,2005-05-04,8.3587,8.6898,8.3212,8.6598,434808
48,2005-05-05,8.7034,8.7034,8.4795,8.6752,292984
49,2005-05-06,8.6898,8.6963,8.4866,8.532,139499
50,2005-05-09,8.5769,8.7034,8.4795,8.7034,214257
51,2005-05-10,8.6598,8.7799,8.5007,8.5697,357967
52,2005-05-11,8.6291,8.8393,8.5913,8.8319,334521
53,2005-05-12,8.8773,8.8773,8.585,8.7034,317984
54,2005-05-13,8.6516,8.8076,8.6291,8.6963,242320
55,2005-05-16,8.6752,9.0023,8.6598,9.0023,288494
56,2005-05-17,8.9291,9.0583,8.7939,9.0583,352138
57,2005-05-18,9.1622,9.2534,9.0195,9.0583,521688
58,2005-05-19,9.1622,9.1622,8.9891,9.1488,214593
59,2005-05-20,9.1565,9.1565,8.9957,9.1565,138978
60,2005-05-23,9.1905,9.1905,9.0345,9.0925,172548
61,2005-05-24,9.0023,9.1766,9.0023,9.1171,145542
62,2005-05-25,9.2312,9.2312,9.0023,9.0108,228630
63,2005-05-26,9.0508,9.1905,9.0508,9.1905,183365
64,2005-05-27,9.1905,9.2735,9.1009,9.2589,224212
65,2005-05-31,9.2881,9.3627,9.206,9.345,296645
66,2005-06-01,9.3125,9.4693,9.2312,9.401,398898
67,2005-06-02,9.2959,9.558,9.2534,9.4256,262433
68,2005-06-03,9.498,9.538,9.2667,9.4336,238531
69,2005-06-06,9.4167,9.4831,9.2667,9.3627,203979
70,2005-06-07,9.3362,9.566,9.2881,9.4167,453919
71,2005-06-08,9.4256,9.544,9.3863,9.4484,174922
72,2005-06-09,9.4623,9.515,9.2881,9.4544,288817
73,2005-06-10,9.4693,9.552,9.4256,9.538,168980
74,2005-06-13,9.4693,9.598,9.4693,9.532,175188
75,2005-06-14,9.506,9.68,9.506,9.648,193945
76,2005-06-15,9.68,9.72,9.4911,9.648,309134
77,2005-06-16,9.538,9.867,9.538,9.859,238283
78,2005-06-17,9.907,9.941,9.711,9.746,708174
79,2005-06-20,9.663,9.809,9.663,9.725,148957
80,2005-06-21,9.77,9.793,9.696,9.752,175271
