,Date,Open,High,Low,Close,Volume
0,2017-07-07,25.12,25.12,25.11,25.11,300
1,2017-07-14,25.0,25.0,24.87,24.87,700
2,2017-07-19,24.8,24.8,24.8,24.8,1900
3,2017-07-20,24.75,24.75,24.75,24.75,200
4,2017-07-26,24.7561,24.7561,24.7561,24.7561,100
5,2017-08-02,24.9,24.9,24.87,24.87,200
6,2017-08-04,24.88,24.88,24.88,24.88,4000
7,2017-08-10,25.4,25.4,25.04,25.11,9399
8,2017-08-15,25.47,25.47,24.954,24.954,2201
9,2017-08-16,25.02,25.02,25.02,25.02,999
10,2017-08-18,25.0901,25.1395,25.0901,25.1395,200
11,2017-08-21,25.27,25.27,25.2205,25.2205,340
12,2017-08-22,25.22,25.22,25.22,25.22,701
13,2017-08-23,25.02,25.03,25.005,25.03,1800
14,2017-08-28,25.15,25.15,25.15,25.15,150
15,2017-08-30,25.06,25.06,25.06,25.06,800
16,2017-09-05,24.7501,25.02,24.7501,24.98,5800
17,2017-09-08,24.93,24.9301,24.93,24.9301,200
18,2017-09-12,24.66,24.75,24.66,24.75,401
19,2017-09-18,24.415,24.415,24.415,24.415,300
20,2017-09-22,24.4199,24.4199,24.4199,24.4199,102
21,2017-09-29,24.23,24.23,24.22,24.23,1200
22,2017-10-05,23.9799,23.9799,23.9799,23.9799,150
23,2017-10-12,23.89,23.89,23.89,23.89,150
24,2017-10-16,24.7,24.7,23.887,23.8892,1100
25,2017-10-19,23.89,23.89,23.89,23.89,200
26,2017-10-24,23.9608,23.98,23.9605,23.9605,1200
27,2017-10-27,23.91,23.91,23.91,23.91,200
28,2017-10-30,23.98,23.98,23.98,23.98,400
29,2017-11-06,23.82,23.82,23.79,23.79,608
