,Date,Open,High,Low,Close,Volume
0,2017-10-26,10.01,10.03,10.0,10.01,2123968
1,2017-10-27,10.01,10.01,10.0,10.0,151831
2,2017-10-30,10.01,10.02,10.0,10.005,85720
3,2017-10-31,10.01,10.01,10.0,10.01,60903
4,2017-11-01,10.0024,10.01,10.0,10.01,52790
5,2017-11-02,10.01,10.01,10.005,10.01,95450
6,2017-11-03,10.01,10.07,10.01,10.07,213350
7,2017-11-06,10.05,10.07,10.04,10.06,770900
8,2017-11-07,10.0,10.07,10.0,10.06,193500
9,2017-11-08,10.06,10.07,10.06,10.07,84110
10,2017-11-09,10.03,10.06,10.03,10.06,7000
11,2017-11-10,10.05,10.05,10.03,10.05,365024
