,Date,Open,High,Low,Close,Volume
0,2014-11-07,25.0,47.75,25.0,45.5,6660
1,2014-11-10,45.0,45.5,45.0,45.5,2929
2,2014-11-11,46.62,48.0,45.5,47.3,12930
3,2014-11-12,48.0,60.0,48.0,54.28,76105
4,2014-11-13,56.0,58.0,54.0,56.2,150936
5,2014-11-14,57.0,65.0,56.2,62.85,125413
6,2014-11-17,65.01,73.26,64.11,70.76,58467
7,2014-11-18,74.8,99.0,72.45,95.7,143195
8,2014-11-19,92.57,111.87,92.57,98.0,182015
9,2014-11-20,97.82,98.54,88.0,96.05,126316
10,2014-11-21,93.55,106.69,92.85,104.52,44102
11,2014-11-24,108.29,131.01,108.29,127.0,127286
12,2014-11-25,124.49,128.0,116.0,117.1,80419
13,2014-11-26,121.88,126.0,115.48,119.0,21971
14,2014-11-28,124.5,124.5,118.75,118.75,2075
15,2014-12-01,113.25,116.0,112.0,113.06,22872
16,2014-12-02,112.3,114.0,108.01,111.66,32468
17,2014-12-03,108.35,110.0,104.0,104.0,22735
18,2014-12-04,107.38,107.38,95.46,97.97,35852
19,2014-12-05,95.35,95.95,86.01,92.75,28399
20,2014-12-08,93.6,93.6,87.48,88.22,11077
21,2014-12-09,89.79,90.58,87.74,89.93,17157
22,2014-12-10,87.51,89.88,87.26,87.35,19301
23,2014-12-11,90.0,90.0,85.97,85.97,9028
24,2014-12-12,85.46,91.0,85.0,87.5,14972
25,2014-12-15,85.8,89.25,83.92,83.92,16060
26,2014-12-16,84.03,89.74,84.03,87.1,4316
27,2014-12-17,85.01,89.99,84.77,89.2,9888
28,2014-12-18,88.09,89.19,86.73,87.0,5166
29,2014-12-19,89.5,92.85,89.5,90.29,41991
30,2014-12-22,92.95,94.27,90.75,90.75,17757
31,2014-12-23,92.98,92.98,86.77,87.0,8312
32,2014-12-24,90.0,90.5,89.5,89.5,8796
33,2014-12-26,89.54,91.37,89.15,91.37,2278
34,2014-12-29,90.1,91.99,90.0,90.77,3891
35,2014-12-30,90.78,93.98,90.25,90.25,8129
36,2014-12-31,89.45,95.47,89.45,94.0,9254
37,2015-01-02,94.0,95.75,93.94,95.75,1960
38,2015-01-05,94.0,97.0,94.0,94.5,8207
39,2015-01-06,94.36,96.33,94.0,94.0,9868
40,2015-01-07,94.0,97.0,93.0,96.7,8336
41,2015-01-08,97.0,102.0,97.0,98.0,7766
42,2015-01-09,99.79,102.0,99.01,102.0,2912
43,2015-01-12,102.19,104.03,102.19,103.2,6020
44,2015-01-13,105.0,105.75,102.25,105.46,10387
45,2015-01-14,105.12,105.5,101.29,104.9,5597
46,2015-01-15,103.05,105.5,103.0,103.0,6539
47,2015-01-16,103.05,104.5,102.61,104.5,4139
48,2015-01-20,102.55,105.25,102.55,105.25,5313
49,2015-01-21,104.03,106.99,104.0,106.25,4134
50,2015-01-22,106.86,109.3,106.0,108.0,7547
51,2015-01-23,108.0,114.0,108.0,112.75,6896
52,2015-01-26,112.44,116.97,110.0,114.0,2919
53,2015-01-27,112.5,113.13,110.0,110.0,3139
54,2015-01-28,112.0,114.0,110.1,110.15,8654
55,2015-01-29,110.03,120.0,110.03,118.98,3995
