,Date,Open,High,Low,Close,Volume
0,2015-04-15,23.0,25.36,21.67,23.25,1022861
1,2015-04-16,23.56,24.74,22.61,22.71,244824
2,2015-04-17,23.04,27.0,22.94,26.18,202400
3,2015-04-20,27.58,32.17,27.0,31.5,563460
4,2015-04-21,32.46,32.5,26.67,27.37,327815
5,2015-04-22,29.36,29.88,27.35,27.55,163041
6,2015-04-23,27.5,29.59,27.0,27.44,121200
7,2015-04-24,27.5,27.68,22.5,22.94,333500
8,2015-04-27,23.37,23.97,19.55,19.95,657900
9,2015-04-28,19.95,20.99,19.61,19.89,224800
10,2015-04-29,20.05,21.0,19.7,19.94,154900
11,2015-04-30,20.0,21.5,18.25,18.25,272900
12,2015-05-01,18.71,19.32,17.06,17.64,309700
13,2015-05-04,17.98,19.74,17.98,18.66,380600
14,2015-05-05,19.09,19.5,17.17,18.2,229400
15,2015-05-06,18.35,18.88,17.52,17.63,95586
16,2015-05-07,18.0,18.46,17.98,18.23,69603
17,2015-05-08,18.94,19.74,18.63,19.09,158000
18,2015-05-11,19.5,21.26,19.5,20.14,302200
19,2015-05-12,20.5,20.9,20.0,20.2,178052
20,2015-05-13,21.43,21.69,20.25,20.75,94400
21,2015-05-14,20.64,20.64,19.61,19.74,165400
22,2015-05-15,19.64,21.18,19.39,19.93,118345
23,2015-05-18,20.1,20.24,19.5,19.75,87269
24,2015-05-19,20.0,20.34,18.02,18.42,123300
25,2015-05-20,18.59,19.55,18.25,18.84,108200
26,2015-05-21,18.85,19.6,18.78,19.05,74700
27,2015-05-22,19.4,21.0,19.0,20.59,264300
28,2015-05-26,20.9,21.56,20.0,20.22,262213
29,2015-05-27,22.22,22.9,20.0,20.01,274700
30,2015-05-28,20.63,20.63,19.5,19.92,181253
31,2015-05-29,19.84,20.35,18.9,19.12,325500
32,2015-06-01,19.29,19.74,17.9,18.59,204600
33,2015-06-02,18.9,19.725,18.0,19.19,188955
34,2015-06-03,19.5,20.75,19.27,20.6,125100
35,2015-06-04,20.4,20.74,19.19,19.31,412000
36,2015-06-05,19.79,20.42,19.45,20.2,130700
37,2015-06-08,20.2,20.95,19.61,20.93,105900
38,2015-06-09,20.75,21.9,20.26,21.69,310534
39,2015-06-10,21.9,22.33,21.24,22.01,163674
40,2015-06-11,22.15,22.15,21.6,22.0,61471
41,2015-06-12,22.12,22.15,21.7,22.15,65600
42,2015-06-15,22.5,22.79,21.63,21.99,111100
43,2015-06-16,22.3,22.82,20.65,20.68,90300
44,2015-06-17,21.04,21.46,20.26,21.19,70200
45,2015-06-18,21.27,22.67,20.52,20.63,213100
46,2015-06-19,20.77,21.11,20.07,20.16,283200
47,2015-06-22,20.15,21.47,20.06,20.49,94700
48,2015-06-23,20.63,20.63,19.8,20.11,99762
49,2015-06-24,20.01,20.48,19.7,19.99,134300
50,2015-06-25,19.9,19.9,18.6,19.68,106200
51,2015-06-26,19.83,19.83,18.82,18.97,543200
52,2015-06-29,18.75,19.2,18.23,18.26,67800
53,2015-06-30,18.0,19.79,17.96,18.08,99055
54,2015-07-01,18.37,18.83,17.87,18.02,96600
55,2015-07-02,17.96,18.0,17.48,17.72,134700
56,2015-07-06,18.1,18.88,18.0,18.39,97200
57,2015-07-07,18.85,19.6,18.43,18.64,188800
58,2015-07-08,18.67,18.89,16.69,16.7,158700
59,2015-07-09,17.2,18.06,16.18,17.09,171900
60,2015-07-10,17.5,17.97,16.7,16.88,161000
61,2015-07-13,17.0,17.12,16.1,16.25,87900
62,2015-07-14,16.17,16.23,15.13,15.27,207178
63,2015-07-15,15.5,16.735,15.01,15.47,223045
64,2015-07-16,15.81,17.5,15.78,17.05,148300
65,2015-07-17,17.1,19.03,17.1,19.03,174500
66,2015-07-20,19.64,19.85,19.0,19.6,149300
67,2015-07-21,20.02,21.8,19.71,20.5,286800
68,2015-07-22,20.76,21.15,20.52,20.71,78100
69,2015-07-23,20.95,21.4,19.51,19.63,144000
70,2015-07-24,19.8,20.32,18.78,18.89,62900
71,2015-07-27,18.79,19.02,18.6,19.02,31600
72,2015-07-28,20.0,20.58,19.35,19.8,60600
73,2015-07-29,19.7,19.7,18.96,19.05,57500
74,2015-07-30,19.02,19.23,18.11,18.51,36100
75,2015-07-31,18.6,19.07,18.55,18.65,34400
76,2015-08-03,18.55,18.65,17.3,17.48,43511
77,2015-08-04,17.49,17.5,15.56,15.82,226300
78,2015-08-05,15.82,16.2,15.5,15.83,257200
79,2015-08-06,15.84,15.96,14.31,14.59,237794
80,2015-08-07,14.86,15.06,13.64,13.87,132700
81,2015-08-10,14.0,15.3,13.95,14.95,98800
82,2015-08-11,15.25,16.22,15.0,15.75,134066
83,2015-08-12,15.75,15.87,15.31,15.76,42900
84,2015-08-13,16.0,16.89,15.9,16.65,102200
85,2015-08-14,16.78,17.14,16.33,16.85,40800
86,2015-08-17,16.87,17.11,16.29,16.49,42200
87,2015-08-18,17.05,17.05,16.5,16.93,36400
88,2015-08-19,17.03,17.91,16.9,17.34,69800
89,2015-08-20,18.0,18.1,17.01,17.01,119000
90,2015-08-21,17.0,18.5,16.85,18.42,95200
91,2015-08-24,16.74,18.88,16.68,18.21,162307
92,2015-08-25,18.65,18.88,16.61,16.8,153000
93,2015-08-26,17.28,17.86,16.66,17.22,39500
94,2015-08-27,17.3,17.88,17.02,17.82,28500
95,2015-08-28,17.85,18.75,17.85,18.45,40300
96,2015-08-31,18.45,19.75,18.45,19.18,283400
97,2015-09-01,18.88,19.2,17.55,17.66,109100
98,2015-09-02,17.97,18.71,17.03,18.32,41000
99,2015-09-03,18.12,18.5,17.27,17.56,52300
100,2015-09-04,17.82,18.2,17.24,18.0,35500
101,2015-09-08,18.31,18.4,17.5,17.96,65100
102,2015-09-09,18.0,18.0,17.6,17.86,39100
103,2015-09-10,17.71,17.89,17.535,17.71,23366
104,2015-09-11,17.52,19.02,17.52,18.75,154500
105,2015-09-14,18.65,18.84,18.07,18.65,31200
106,2015-09-15,18.51,18.59,18.12,18.27,28700
107,2015-09-16,18.1,18.51,17.75,18.01,25800
108,2015-09-17,17.92,18.47,17.92,18.15,10600
109,2015-09-18,17.86,18.5,17.32,17.36,67400
110,2015-09-21,17.55,17.99,17.06,17.12,22300
111,2015-09-22,17.0,17.35,16.8,16.87,34600
112,2015-09-23,17.0,17.64,16.85,17.13,18500
113,2015-09-24,17.19,17.44,16.8,17.28,70590
114,2015-09-25,17.36,17.48,16.8,16.91,42700
115,2015-09-28,16.91,17.27,15.5,17.25,152116
116,2015-09-29,17.5,17.5,15.51,16.04,65700
117,2015-09-30,16.2,16.92,14.8,14.94,65700
118,2015-10-01,16.4,16.45,14.35,14.63,171000
119,2015-10-02,15.23,15.48,14.42,15.42,56700
120,2015-10-05,16.15,16.15,15.2,15.67,24701
121,2015-10-06,15.51,16.02,13.98,15.62,92300
122,2015-10-07,15.62,16.13,14.48,15.77,40400
123,2015-10-08,16.23,16.23,15.01,15.2,72500
124,2015-10-09,15.15,16.37,15.15,15.63,34600
125,2015-10-12,15.57,15.79,14.69,14.82,51493
126,2015-10-13,15.02,15.16,14.33,14.4,33300
127,2015-10-14,13.87,14.5,13.87,14.15,56200
128,2015-10-15,14.23,15.8,14.23,15.7,84600
129,2015-10-16,16.0,18.2,14.89,15.59,173200
130,2015-10-19,15.47,15.47,13.85,14.07,116700
131,2015-10-20,13.6,14.65,13.6,14.03,86362
132,2015-10-21,14.26,14.94,13.81,13.91,110100
133,2015-10-22,14.0,14.74,14.0,14.15,40300
