,Date,Open,High,Low,Close,Volume
0,2017-07-20,9.5,11.88,9.26,11.25,1403638
1,2017-07-21,11.47,11.47,10.55,10.81,207171
2,2017-07-24,11.24,11.24,10.25,10.815,110221
3,2017-07-25,11.46,11.46,10.2501,10.75,239421
4,2017-07-26,10.7,11.1541,10.2634,10.45,44231
5,2017-07-27,10.5,10.9732,10.3425,10.69,56396
6,2017-07-28,10.67,10.85,10.56,10.75,32663
7,2017-07-31,10.8,10.9881,10.61,10.78,38293
8,2017-08-01,10.7,11.0,10.5906,10.84,28759
9,2017-08-02,10.7,11.28,10.651,11.22,34292
10,2017-08-03,11.3,11.3,10.7,10.9,20734
11,2017-08-04,10.99,11.25,10.61,11.235,12036
12,2017-08-07,11.25,11.25,11.01,11.19,7392
13,2017-08-08,11.05,11.15,10.97,11.04,17712
14,2017-08-09,11.0,11.172,11.0,11.14,17722
15,2017-08-10,11.11,12.565,11.0,12.14,32975
16,2017-08-11,12.0,12.1647,11.135,11.82,17977
17,2017-08-14,11.7,12.38,11.7,12.25,61313
18,2017-08-15,12.58,12.9658,12.33,12.5,43460
19,2017-08-16,13.0,13.0,11.78,12.07,38690
20,2017-08-17,11.61,12.2,11.49,11.82,75622
21,2017-08-18,11.8,12.5,11.8,12.46,19515
22,2017-08-21,12.77,13.57,12.151,13.57,50294
23,2017-08-22,13.74,15.22,13.51,14.78,77440
24,2017-08-23,14.99,16.36,14.99,15.78,131463
25,2017-08-24,16.5,16.8,15.18,15.61,76062
26,2017-08-25,15.7,15.825,13.41,14.74,55780
27,2017-08-28,14.01,16.0,14.01,15.67,48546
28,2017-08-29,15.48,16.5,15.19,15.92,54365
29,2017-08-30,15.86,16.3,15.06,16.02,53603
30,2017-08-31,16.35,16.35,15.17,15.2,73439
31,2017-09-01,15.24,17.41,15.01,17.41,86047
32,2017-09-05,17.5,19.26,16.81,19.21,197589
33,2017-09-06,19.69,20.93,18.7,20.28,226175
34,2017-09-07,20.28,22.0,19.7719,22.0,252153
35,2017-09-08,22.38,24.75,21.93,23.31,312306
36,2017-09-11,23.3,24.71,22.5001,24.1,190349
37,2017-09-12,26.0,27.04,23.5,26.0,196623
38,2017-09-13,25.53,26.89,25.035,26.39,138423
39,2017-09-14,26.8,29.3941,26.5,28.31,231173
40,2017-09-15,28.55,29.4549,23.955,24.68,1139008
41,2017-09-18,24.64,25.4961,21.0704,21.87,319103
42,2017-09-19,21.95,24.6451,21.875,24.3,134885
43,2017-09-20,24.3,24.3,23.21,23.94,56943
44,2017-09-21,24.02,26.85,23.85,26.67,96701
45,2017-09-22,26.46,26.7,25.1112,25.72,57268
46,2017-09-25,25.76,26.59,24.4001,26.54,38529
47,2017-09-26,26.66,26.8,25.8222,26.47,37730
48,2017-09-27,24.54,25.76,23.62,24.64,114844
49,2017-09-28,24.61,24.62,23.75,24.38,42596
50,2017-09-29,24.74,24.74,24.1,24.46,41094
51,2017-10-02,24.75,26.45,24.296,26.4,58981
52,2017-10-03,26.55,27.94,25.991,26.79,50317
53,2017-10-04,26.5,26.78,24.78,25.83,65261
54,2017-10-05,25.97,26.66,25.46,26.49,29151
55,2017-10-06,26.67,26.76,25.845,26.44,45356
56,2017-10-09,26.36,26.62,25.24,25.97,30042
57,2017-10-10,26.25,29.5,25.71,29.09,121762
58,2017-10-11,29.11,31.89,28.41,31.48,97492
59,2017-10-12,31.5,31.5,28.75,29.08,63738
60,2017-10-13,29.0,30.1248,27.57,27.83,40454
61,2017-10-16,28.23,28.3,27.5608,27.93,50640
62,2017-10-17,27.87,27.9816,27.11,27.28,23187
63,2017-10-18,27.28,27.28,25.17,25.37,40140
64,2017-10-19,25.08,25.49,24.67,25.16,48995
65,2017-10-20,25.33,25.98,25.0004,25.3,38859
66,2017-10-23,24.98,25.0,22.9,22.92,55857
67,2017-10-24,23.29,24.49,23.0,23.29,68981
68,2017-10-25,23.3,24.2399,23.29,23.4,35084
69,2017-10-26,23.41,24.0,23.2,23.76,16149
70,2017-10-27,24.25,24.25,22.31,22.47,36912
71,2017-10-30,23.48,24.56,22.49,23.94,54334
72,2017-10-31,24.35,24.35,20.48,20.48,49275
73,2017-11-01,20.84,24.06,20.84,23.15,67227
74,2017-11-02,23.23,23.23,21.18,21.81,40655
75,2017-11-03,21.45,22.76,20.9,22.2,42471
76,2017-11-06,22.2,22.25,21.32,21.79,23105
77,2017-11-07,21.83,22.45,20.31,20.62,28799
78,2017-11-08,20.5,21.49,20.5,21.27,21543
79,2017-11-09,21.35,22.0,20.74,21.81,21262
80,2017-11-10,21.37,22.149,21.02,21.23,32501
