,Date,Open,High,Low,Close,Volume
0,2005-02-25,20.431,20.469,20.264,20.271,4747
1,2005-02-28,20.166,20.455,20.151,20.28,2509
2,2005-03-01,20.205,20.547,20.205,20.547,7255
3,2005-03-02,20.585,20.712,20.585,20.592,2636
4,2005-03-03,20.695,20.712,20.621,20.676,3429
5,2005-03-04,20.66,20.712,20.547,20.636,3561
6,2005-03-07,20.683,20.842,20.598,20.795,4484
7,2005-03-08,20.781,20.825,20.781,20.825,267
8,2005-03-09,20.809,20.888,20.809,20.888,1848
9,2005-03-10,20.867,20.907,20.469,20.576,5804
10,2005-03-11,20.394,20.425,19.902,19.969,7255
11,2005-03-14,20.015,20.296,20.015,20.235,3561
12,2005-03-15,20.235,20.235,19.909,19.939,2240
13,2005-03-16,19.902,19.978,19.714,19.771,8972
14,2005-03-17,19.886,19.902,19.879,19.879,1189
15,2005-03-18,19.886,19.886,19.812,19.812,527
16,2005-03-21,19.714,19.714,19.485,19.672,3561
17,2005-03-22,19.521,19.827,19.521,19.636,5277
18,2005-03-23,19.56,19.56,19.447,19.447,2111
19,2005-03-24,19.455,19.697,19.325,19.697,2901
20,2005-03-28,19.447,19.6,19.407,19.407,1978
21,2005-03-29,19.258,19.407,19.258,19.333,2373
22,2005-03-30,19.356,19.485,19.294,19.485,5408
23,2005-03-31,19.6,19.706,19.371,19.56,2111
24,2005-04-01,19.438,19.485,19.19,19.19,4484
25,2005-04-04,19.333,19.333,19.217,19.217,527
26,2005-04-05,19.325,19.407,19.325,19.407,5277
27,2005-04-06,19.485,19.672,19.371,19.521,11737
28,2005-04-07,19.6,19.672,19.529,19.672,5014
29,2005-04-08,19.672,19.672,19.56,19.56,1716
30,2005-04-11,19.521,19.537,19.447,19.529,2373
31,2005-04-12,19.545,19.545,19.521,19.529,2509
32,2005-04-13,19.551,19.551,19.258,19.447,10813
33,2005-04-14,19.521,19.537,19.521,19.537,925
34,2005-04-15,19.529,19.529,19.407,19.447,2240
35,2005-04-18,19.463,19.56,19.407,19.56,4617
36,2005-04-19,19.592,19.6,19.455,19.476,1581
37,2005-04-20,19.56,19.592,19.485,19.56,2901
38,2005-04-21,19.485,19.485,19.217,19.356,8575
39,2005-04-22,19.485,19.56,19.371,19.371,10153
40,2005-04-25,19.485,19.902,19.485,19.714,8972
41,2005-04-26,19.75,19.75,19.672,19.672,8048
42,2005-04-27,19.294,19.447,19.294,19.371,2111
43,2005-04-28,19.294,19.447,19.294,19.447,4747
44,2005-04-29,19.485,19.771,19.407,19.714,5537
45,2005-05-02,19.6,19.714,19.463,19.493,7913
46,2005-05-03,19.681,20.091,19.681,20.06,10950
47,2005-05-04,20.127,20.28,20.015,20.091,2373
48,2005-05-05,20.115,20.115,19.939,20.015,1319
49,2005-05-06,19.945,20.091,19.862,20.076,2771
50,2005-05-09,20.091,20.166,20.083,20.083,2771
51,2005-05-10,20.205,20.431,20.115,20.271,4352
52,2005-05-11,20.318,20.506,20.318,20.326,1978
53,2005-05-12,20.469,20.469,20.469,20.469,658
54,2005-05-13,20.585,21.029,20.539,21.029,5014
55,2005-05-16,21.029,21.029,20.091,20.357,5146
56,2005-05-17,20.166,20.166,20.091,20.108,1319
57,2005-05-18,20.243,20.313,20.127,20.127,1716
58,2005-05-19,20.127,20.205,20.051,20.051,2373
59,2005-05-20,20.243,20.394,20.243,20.394,790
60,2005-05-23,20.394,20.394,20.243,20.28,1054
61,2005-05-24,20.182,20.182,19.879,19.902,3035
62,2005-05-25,19.902,20.469,19.902,20.28,5537
63,2005-05-26,20.289,20.547,20.289,20.522,3035
64,2005-05-27,20.522,20.66,20.477,20.66,4221
65,2005-05-31,20.585,20.585,20.492,20.569,2111
66,2005-06-01,20.486,20.585,20.469,20.585,2373
67,2005-06-02,20.469,20.469,20.469,20.469,1189
68,2005-06-03,20.547,20.585,20.547,20.585,527
69,2005-06-06,20.775,20.907,20.585,20.901,7783
70,2005-06-07,20.893,20.893,20.629,20.735,3691
71,2005-06-08,20.547,20.735,20.547,20.735,1448
72,2005-06-09,20.547,20.598,20.547,20.585,1848
73,2005-06-10,20.775,20.809,20.486,20.704,5537
74,2005-06-13,20.842,21.799,20.842,21.229,10287
75,2005-06-14,21.229,21.229,20.931,20.94,5804
76,2005-06-15,21.229,21.341,21.045,21.045,6199
77,2005-06-16,21.229,21.455,21.229,21.264,2111
78,2005-06-17,21.075,21.206,20.795,20.85,3429
79,2005-06-20,20.85,20.858,20.85,20.85,527
80,2005-06-21,20.867,21.229,20.867,21.229,1189
81,2005-06-22,21.229,21.591,21.229,21.229,1448
82,2005-06-23,21.038,21.153,20.85,21.153,1189
83,2005-06-24,21.173,21.19,20.85,20.85,8703
84,2005-06-27,20.775,20.888,20.775,20.775,1189
85,2005-06-28,20.842,20.922,20.469,20.922,4088
86,2005-06-29,21.115,21.221,20.514,20.585,6989
87,2005-06-30,20.585,20.585,20.469,20.469,10813
88,2005-07-01,20.636,20.636,20.469,20.469,1848
89,2005-07-05,20.585,20.833,20.585,20.66,3168
90,2005-07-06,20.492,20.842,20.492,20.809,1054
91,2005-07-07,20.809,20.915,20.809,20.915,925
92,2005-07-08,20.85,21.016,20.585,21.016,2111
93,2005-07-11,21.001,21.305,20.858,21.305,4747
94,2005-07-12,21.305,21.305,20.85,21.092,5804
95,2005-07-13,21.075,21.305,21.075,21.305,7520
96,2005-07-14,21.115,21.38,21.038,21.335,5408
97,2005-07-15,21.273,21.273,21.214,21.229,1189
98,2005-07-18,21.075,21.264,21.075,21.206,2636
99,2005-07-19,21.25,21.264,21.075,21.264,2509
100,2005-07-20,21.153,21.273,21.153,21.273,2373
101,2005-07-21,21.19,21.264,21.124,21.124,1054
102,2005-07-22,21.124,21.229,21.001,21.229,2636
103,2005-07-25,21.173,21.229,21.153,21.229,1716
104,2005-07-26,21.153,21.153,21.153,21.153,267
105,2005-07-27,21.341,21.341,21.289,21.341,925
106,2005-07-28,21.19,21.19,21.107,21.107,1054
107,2005-07-29,21.214,21.638,21.214,21.517,10685
108,2005-08-01,21.57,21.92,21.508,21.606,13189
109,2005-08-02,21.606,21.606,21.517,21.606,4617
110,2005-08-03,21.517,21.517,21.5,21.5,925
111,2005-08-04,21.5,21.517,21.5,21.5,1716
112,2005-08-05,21.554,21.554,21.554,21.554,126
113,2005-08-08,21.491,21.491,20.469,21.229,8837
114,2005-08-09,21.068,21.165,20.922,20.922,2636
115,2005-08-10,21.075,21.229,21.054,21.19,4878
116,2005-08-11,21.221,21.221,21.131,21.153,1448
117,2005-08-12,21.214,21.214,21.075,21.075,1581
118,2005-08-15,21.229,21.606,21.229,21.606,5804
119,2005-08-16,21.682,21.799,21.682,21.757,2111
120,2005-08-17,21.749,21.757,21.749,21.757,1448
121,2005-08-18,21.645,21.645,21.606,21.645,1848
122,2005-08-19,21.606,21.623,21.606,21.606,2240
123,2005-08-22,21.548,21.591,21.532,21.532,2771
124,2005-08-23,21.455,21.638,21.153,21.455,5674
125,2005-08-24,21.433,21.455,21.357,21.404,3297
126,2005-08-25,21.305,21.305,21.289,21.289,1716
127,2005-08-26,21.341,21.341,21.19,21.335,1848
