,Date,Open,High,Low,Close,Volume
0,2012-06-27,18.966,19.79,18.618,19.585,7758027
1,2012-06-28,19.377,20.152,19.221,19.956,969299
2,2012-06-29,19.956,20.302,19.518,19.848,229917
3,2012-07-02,19.717,20.235,19.542,20.037,242183
4,2012-07-03,19.896,20.515,19.79,19.848,119423
5,2012-07-05,19.79,19.979,19.585,19.923,155903
6,2012-07-06,20.037,20.077,19.727,19.79,429854
7,2012-07-09,19.79,20.35,19.708,20.077,219233
8,2012-07-10,20.086,20.332,20.045,20.077,165277
9,2012-07-11,19.996,20.203,19.79,20.077,99181
10,2012-07-12,19.996,20.219,19.979,20.219,179152
11,2012-07-13,20.161,20.533,20.161,20.259,116121
12,2012-07-16,20.323,20.323,20.045,20.194,58575
13,2012-07-17,20.194,20.954,20.06,20.87,187010
14,2012-07-18,20.821,21.019,20.73,20.901,49980
15,2012-07-19,20.986,21.142,20.863,21.102,57098
16,2012-07-20,20.944,21.151,20.896,21.151,23236
17,2012-07-23,21.109,21.852,21.086,21.654,441778
18,2012-07-24,21.769,22.332,21.769,21.961,151294
19,2012-07-25,22.059,22.059,21.769,21.861,1267194
20,2012-07-26,22.173,22.182,21.662,21.934,137849
21,2012-07-27,22.098,22.098,21.423,21.63,683237
22,2012-07-30,22.025,22.025,21.637,21.878,108965
23,2012-07-31,22.025,22.025,21.677,21.769,64000
24,2012-08-01,21.769,21.901,21.769,21.901,49271
25,2012-08-02,21.686,21.885,21.613,21.769,110277
26,2012-08-03,22.025,22.059,21.761,22.025,79508
27,2012-08-06,22.059,22.164,21.613,22.015,78254
28,2012-08-07,22.015,22.081,21.81,21.825,37272
29,2012-08-08,21.712,21.769,21.588,21.686,85399
30,2012-08-09,21.622,21.81,21.622,21.744,87463
31,2012-08-10,21.703,21.787,21.532,21.637,68981
32,2012-08-13,21.553,21.796,21.532,21.646,127143
33,2012-08-14,21.769,22.044,21.562,21.916,140563
34,2012-08-15,21.975,22.156,21.885,21.975,141218
35,2012-08-16,21.951,22.495,21.81,22.015,202806
36,2012-08-17,21.796,22.51,21.744,22.502,180409
37,2012-08-20,22.537,22.554,22.015,22.346,75750
38,2012-08-21,22.428,22.471,21.997,22.207,40784
39,2012-08-22,22.123,22.239,21.944,22.139,37915
40,2012-08-23,22.09,22.379,22.025,22.115,19164
41,2012-08-24,22.115,22.231,21.975,22.132,39366
42,2012-08-27,22.199,22.231,22.108,22.173,228023
43,2012-08-28,22.09,22.332,21.975,22.098,57080
44,2012-08-29,22.098,22.221,22.098,22.182,24996
45,2012-08-30,22.09,22.19,22.09,22.115,61630
46,2012-08-31,22.231,22.65,22.108,22.643,34610
47,2012-09-04,22.971,23.723,22.807,23.062,286371
48,2012-09-05,22.963,23.222,22.85,23.081,267925
49,2012-09-06,23.127,23.37,23.054,23.081,90616
50,2012-09-07,23.09,23.37,23.072,23.162,194190
51,2012-09-10,23.295,23.443,22.898,23.353,109068
52,2012-09-11,23.317,23.767,23.303,23.698,111911
53,2012-09-12,23.774,23.921,23.072,23.37,413568
54,2012-09-13,23.106,23.813,23.106,23.624,211581
55,2012-09-14,23.667,23.954,23.188,23.863,173145
56,2012-09-17,23.914,23.988,23.54,23.839,80161
57,2012-09-18,23.774,23.822,23.37,23.822,30409
58,2012-09-19,23.897,24.63,23.897,24.316,444202
59,2012-09-20,24.143,25.331,24.079,24.737,80680
60,2012-09-21,24.861,25.107,24.434,24.614,63481
61,2012-09-24,23.938,24.245,23.813,24.003,114017
62,2012-09-25,24.054,24.079,23.822,23.863,69061
63,2012-09-26,23.731,23.731,23.295,23.409,84178
64,2012-09-27,23.37,23.37,22.701,23.287,178291
65,2012-09-28,23.287,23.822,23.046,23.749,112128
66,2012-10-01,23.731,24.737,23.576,24.407,160018
67,2012-10-02,24.308,24.844,24.029,24.773,92962
68,2012-10-03,25.142,25.142,24.63,24.853,125360
69,2012-10-04,24.844,25.158,24.399,24.797,75596
70,2012-10-05,24.944,24.944,24.755,24.812,117015
71,2012-10-08,24.763,24.781,24.456,24.68,101827
72,2012-10-09,24.737,25.083,24.589,24.657,94165
73,2012-10-10,24.64,24.902,24.64,24.696,38614
74,2012-10-11,24.797,24.797,24.64,24.781,39142
75,2012-10-12,24.755,25.001,24.657,24.812,24376
76,2012-10-15,24.781,24.902,24.672,24.886,54811
77,2012-10-16,24.781,24.87,24.614,24.745,75266
78,2012-10-17,24.781,24.861,24.657,24.827,33057
79,2012-10-18,24.789,24.953,24.737,24.827,201223
80,2012-10-19,24.755,25.149,24.589,24.812,177769
81,2012-10-22,24.844,25.613,24.781,24.936,385287
82,2012-10-23,24.712,25.324,24.712,24.944,387179
83,2012-10-24,24.977,25.485,24.886,25.149,50614
84,2012-10-25,25.315,25.686,25.091,25.34,54238
85,2012-10-26,25.397,25.512,25.149,25.231,69563
86,2012-10-31,25.346,25.784,25.001,25.686,35538
87,2012-11-01,25.728,26.169,25.151,25.286,58460
88,2012-11-02,25.261,25.777,25.01,25.562,106019
89,2012-11-05,25.813,25.928,25.194,25.829,85844
90,2012-11-06,25.852,26.178,25.555,25.951,72696
91,2012-11-07,25.821,25.821,25.276,25.418,106959
92,2012-11-08,25.418,25.759,24.345,24.833,168316
93,2012-11-09,24.852,24.936,24.41,24.528,86704
94,2012-11-12,24.542,25.234,24.41,24.436,213583
95,2012-11-13,24.317,24.91,23.985,24.551,135577
96,2012-11-14,24.485,24.495,23.234,23.691,252741
97,2012-11-15,23.635,24.177,23.276,23.343,116365
98,2012-11-16,23.352,24.495,23.101,23.918,99765
99,2012-11-19,24.102,24.636,23.626,24.102,157120
100,2012-11-20,24.126,24.31,23.794,24.067,88439
101,2012-11-21,24.151,24.31,23.609,23.911,75478
102,2012-11-23,23.825,23.968,23.734,23.902,34039
103,2012-11-26,23.777,25.144,23.777,24.869,138811
104,2012-11-27,24.694,25.203,24.627,25.028,89248
105,2012-11-28,24.977,25.728,24.742,25.418,114951
106,2012-11-29,25.378,25.528,25.037,25.27,47024
107,2012-11-30,25.27,25.839,25.194,25.619,206936
108,2012-12-03,25.785,26.169,25.01,25.311,112940
109,2012-12-04,25.093,25.351,24.327,24.477,96787
110,2012-12-05,24.477,24.833,24.018,24.686,226467
111,2012-12-06,24.802,25.402,24.542,24.601,85981
112,2012-12-07,24.627,24.86,24.459,24.795,365497
113,2012-12-10,24.678,24.852,24.245,24.301,59126
114,2012-12-11,24.193,25.294,23.777,24.91,119028
115,2012-12-12,24.86,25.085,24.102,24.126,156220
116,2012-12-13,24.052,24.761,24.028,24.436,51259
117,2012-12-14,24.535,25.002,24.11,24.686,109068
118,2012-12-17,24.627,25.144,24.551,25.01,64988
119,2012-12-18,24.977,25.436,24.936,25.303,56903
120,2012-12-19,25.303,25.777,25.109,25.562,119621
121,2012-12-20,25.619,25.821,25.252,25.586,92175
122,2012-12-21,25.41,25.528,24.91,25.329,182468
123,2012-12-24,25.187,25.652,25.187,25.619,38525
124,2012-12-26,25.627,25.627,24.779,25.137,61706
125,2012-12-27,25.102,25.471,24.779,25.436,70994
126,2012-12-28,25.418,25.846,25.378,25.627,133152
127,2012-12-31,25.721,25.98,25.619,25.98,49311
128,2013-01-02,26.221,27.639,26.105,27.02,104319
129,2013-01-03,27.072,28.096,26.926,27.103,334919
130,2013-01-04,26.98,28.344,26.703,28.195,136380
131,2013-01-07,28.322,28.913,27.745,28.113,132558
132,2013-01-08,28.254,28.68,27.796,28.229,76103
133,2013-01-09,28.282,29.154,28.204,28.788,126514
134,2013-01-10,28.746,29.072,28.44,28.613,144206
135,2013-01-11,28.689,28.823,26.444,27.52,336465
136,2013-01-14,27.352,28.244,27.036,27.772,97685
137,2013-01-15,27.722,28.431,27.428,27.694,69306
138,2013-01-16,27.52,27.812,27.42,27.688,68902
139,2013-01-17,27.754,27.971,27.362,27.436,60950
140,2013-01-18,27.436,28.37,27.436,27.828,67057
141,2013-01-22,27.905,28.314,27.398,27.504,86676
142,2013-01-23,27.661,27.67,27.345,27.389,63911
