,Date,Open,High,Low,Close,Volume
0,2014-10-09,32.95,32.99,29.07,30.1,8257061
1,2014-10-10,30.0,30.25,28.0,29.05,1619507
2,2014-10-13,29.1,29.23,25.79,27.25,423131
3,2014-10-14,27.42,29.85,26.95,29.84,228798
4,2014-10-15,29.41,29.6,27.12,27.5,273287
5,2014-10-16,26.96,30.72,26.56,30.17,331643
6,2014-10-17,30.8,31.23,30.01,30.66,103155
7,2014-10-20,30.97,31.2,30.31,31.2,85060
8,2014-10-21,31.3,31.3,29.61,30.2,170790
9,2014-10-22,30.41,30.57,29.97,30.02,84708
10,2014-10-23,30.1,32.29,30.0,31.7,138411
11,2014-10-24,31.65,33.42,31.42,32.11,189392
12,2014-10-27,32.25,33.5,32.12,33.06,183841
13,2014-10-28,33.23,34.5,32.07,33.85,115359
14,2014-10-29,34.0,34.59,33.31,34.32,97245
15,2014-10-30,34.6,34.92,33.25,34.45,159345
16,2014-10-31,34.91,36.0,34.08,35.63,168768
17,2014-11-03,36.13,36.13,34.05,34.94,259582
18,2014-11-04,35.25,36.59,35.25,36.51,164797
19,2014-11-05,36.0,36.76,35.48,36.42,197648
20,2014-11-06,36.45,36.58,36.16,36.29,112441
21,2014-11-07,35.7,37.58,35.61,36.7,162369
22,2014-11-10,36.7,37.55,35.62,36.52,140050
23,2014-11-11,36.7,37.04,36.04,36.37,84707
24,2014-11-12,36.02,36.34,35.22,35.41,107836
25,2014-11-13,36.8,38.6,36.5,36.69,266973
26,2014-11-14,37.6,37.81,36.06,37.0,130024
27,2014-11-17,37.21,37.39,35.79,36.87,123875
28,2014-11-18,36.82,37.18,36.3,36.86,116970
29,2014-11-19,36.95,36.95,34.26,35.89,206137
30,2014-11-20,35.85,36.1,35.41,36.04,63889
31,2014-11-21,36.1,36.59,35.68,36.19,122612
32,2014-11-24,36.63,37.45,36.02,36.69,369886
33,2014-11-25,36.63,36.79,35.76,35.8,156984
34,2014-11-26,35.77,36.12,35.0,35.5,91753
35,2014-11-28,35.2,35.5,34.98,35.39,39802
36,2014-12-01,35.01,35.21,33.34,34.05,139262
37,2014-12-02,34.27,34.53,32.93,33.59,183666
38,2014-12-03,33.71,33.83,32.09,32.53,143482
39,2014-12-04,32.5,32.99,32.31,32.79,135224
40,2014-12-05,32.89,33.45,32.61,33.31,84679
41,2014-12-08,33.03,34.14,33.03,33.99,113375
42,2014-12-09,33.25,34.98,33.07,34.74,129026
43,2014-12-10,34.43,35.25,33.81,34.15,97745
44,2014-12-11,34.85,35.26,33.0,33.52,92795
45,2014-12-12,33.74,33.83,32.24,33.02,204494
46,2014-12-15,33.31,34.52,31.01,32.34,175613
47,2014-12-16,32.1,32.4,31.43,32.02,215003
48,2014-12-17,32.08,34.02,31.14,33.76,250586
49,2014-12-18,34.5,34.76,33.31,34.03,180676
50,2014-12-19,34.3,34.31,33.51,33.53,753173
51,2014-12-22,33.5,34.03,32.67,33.19,109767
